stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,30,2,2,1,0,0,1,1,0,0,1,35,0,0,1,0,0
 24-34,0,0,0.82,1.64,6.57,0,0,8.21,0,1.64,0,2.46,0,2.46,0,0,0,0,0.82,0,4.1,0,0,1.64,500.72,0.82,13.95,0,0,0.82,1.64,0,0,0,1.64,203.57,0,0,5.75,0,0.82
 36-46,0,0,0,0,2.42,0.81,0,41.09,0,0,0,5.64,0,0.81,0,0,0.81,0,0.81,1.61,8.06,0,0,0,1519.49,0,19.34,1.61,0,0,1.61,0,0,0.81,0,407.67,0,0,4.83,0,0
 48-58,0,0,1.15,0,5.74,2.3,0,214.03,0.57,0,2.3,44.18,0,1.15,1.15,0,0,0,0.57,4.59,30.99,0,0.57,4.59,2411.13,0,18.36,2.3,0,0.57,4.02,0,0.57,1.15,0,551.43,0,0,1.15,0,4.59
 60-70,0,0,0,0,10.8,0.98,0,565.36,0,2.94,1.96,59.87,0,0,2.94,1.96,0.98,0,0,4.91,27.48,0,0.98,6.87,3730.76,0,22.58,1.96,0,1.96,11.78,0,0,0,0,643.88,0,0.98,4.91,1.96,4.91
 72-82,0,0,5.89,0,44.17,34.36,0.98,788.27,1.96,0.98,3.93,106.02,1.96,1.96,1.96,1.96,0.98,0,0.98,3.93,75.59,1.96,2.94,8.83,3158.01,0.98,33.38,4.91,0,2.94,9.82,0,0.98,0,0,466.29,0.98,0.98,17.67,1.96,2.94
 84-94,0,0,1.06,0,39.3,27.61,0,554.38,1.06,5.31,3.19,74.34,3.19,0,2.12,3.19,4.25,0,2.12,12.74,58.41,0,5.31,3.19,1594.12,3.19,18.05,5.31,0,1.06,8.5,0,1.06,1.06,0,257.01,1.06,3.19,14.87,4.25,4.25
 96-106,0,0,2.19,0,44.81,12.02,1.09,501.62,3.28,4.37,2.19,95.08,3.28,0,12.02,3.28,4.37,3.28,3.28,5.46,39.34,0,2.19,14.21,1361.69,0,38.25,9.84,0,4.37,10.93,0,0,0,0,126.77,3.28,3.28,24.04,0,5.46
108-118,0,0,3.83,0,26.04,6.89,1.53,321.7,0,2.3,3.06,66.64,4.6,0.77,9.19,0.77,2.3,0.77,4.6,9.96,32.94,1.53,1.53,3.06,1661.37,0,27.57,7.66,0,0.77,6.13,0,0,0,0,101.11,3.83,0.77,13.02,0,1.53
120,0,0,3.92,0,43.12,9.8,0,354.72,0,5.88,5.88,88.19,3.92,0,9.8,0,0,0,0,3.92,60.75,1.96,3.92,11.76,2134.21,1.96,17.64,9.8,0,0,13.72,0,3.92,0,0,137.18,0,0,15.68,0,1.96
