stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,5,1,17,0,0,0,1,1,0,0,0,2,0,0,0,10,0,0,0,0,0,1,0,1,0,0,0
 24-34,0,0,0.82,0,0.82,0,87.01,0,0,0,0,3.28,0,0,0,3.28,0,0,0,39.4,0,0,0,0,0,0,0.82,4.1,0,0,0
 36-46,0,0,0,0,0,0,115.21,0,0,0,0,1.61,0,0,0,3.22,0,0,0,24.17,0,0,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,1.15,0,161.81,0,0.57,0,0.57,0.57,0,0.57,0,4.59,0.57,0.57,0,28.12,0,0,0,0,0,0,0,20.08,0.57,0,1.15
 60-70,0,0,0,0,0,0,209.06,0,0,0,0.98,0,0,2.94,0,2.94,0,0,1.96,21.59,0,0,0,0,0.98,0,0,12.76,0,0,0
 72-82,0,0,0,0,0,0,217.93,0,0,0,5.89,0,0,0,0,4.91,0,0,1.96,19.63,0,0.98,0,0,0,0,0,11.78,0,0,0.98
 84-94,0,0,0,0,0,0,161.43,0,0,0,14.87,0,0,6.37,0,1.06,0,1.06,0,18.05,0,1.06,0,0,1.06,0,0,7.43,0,0,0
 96-106,0,0,0,0,1.09,0,163.93,0,0,1.09,10.93,0,1.09,1.09,0,7.65,0,0,1.09,10.93,0,2.19,0,1.09,0,0,0,3.28,0,0,0
108-118,0,0,0,0,1.53,0.77,112.6,0.77,0,0,11.49,0,0.77,3.83,0.77,2.3,0,0.77,0,13.79,0,0,0,0,0,0,0,3.83,0,0.77,0
120,0,0,0,0,1.96,1.96,137.18,0,0,0,9.8,0,1.96,0,0,1.96,1.96,0,1.96,25.48,0,0,0,0,0,0,0,1.96,0,0,0
