stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,0,122.73,0,0,0,0,18.88,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,7,12,0,7,0,0,0,5,0,0,0,0,0,0,0,0,35,0,0,14,102,3,0,4,20,0,0,0,19,1,1,17,79,0,0,8,0,0
 24-34,0,0,0,4.1,4.1,0,4.93,0,0,1.64,4.93,0,3.28,0,0,0,0,0,0,67.31,0,0,44.33,77.16,0,0,0.82,0,0,0,0,0,1.64,0,1.64,27.91,0,0,44.33,0,0
 36-46,0,0,0,0.81,0,0,5.64,0.81,0,2.42,24.17,0,1.61,0.81,0,0.81,0,0,0,81.37,0,0,39.48,46.73,0.81,0,0,0,0,0,0,0,0.81,0,0,24.17,0,0,46.73,0,0
 48-58,0,0,0,0.57,0,0,15.49,0,0.57,6.89,52.22,0,2.3,0,0,0.57,0,0,0,134.27,0,0,39.59,48.77,0,0,1.15,0,0,0,0,0,2.3,0,0,26.4,0,0.57,38.44,0,0
 60-70,0,0,0,2.94,0,0,18.65,0,1.96,3.93,139.38,0,4.91,0,0,1.96,0,0,0,244.4,0.98,1.96,27.48,36.32,0,0,1.96,0,4.91,0.98,0,0,2.94,0,0,31.41,0,4.91,27.48,0,0
 72-82,0,0.98,0,2.94,0.98,0,35.34,0,0,1.96,193.39,0.98,5.89,0,0,0,0.98,0.98,0,282.72,0,4.91,20.61,57.92,0,0,13.74,0,7.85,0.98,0,0,1.96,0,0,14.72,0,8.83,85.4,8.83,0
 84-94,0,3.19,0,4.25,2.12,0,20.18,0,0,4.25,110.45,0,2.12,2.12,1.06,0,0,0,0,165.68,0,6.37,18.05,24.43,1.06,0,6.37,0,4.25,1.06,0,0,0,0,0,8.5,0,7.43,72.22,4.25,0
 96-106,0,0,0,7.65,2.19,0,20.76,2.19,0,3.28,98.36,0,5.46,1.09,1.09,1.09,0,2.19,0,190.16,0,12.02,12.02,41.53,0,1.09,4.37,0,12.02,2.19,1.09,0,2.19,1.09,0,6.56,1.09,8.74,80.87,6.56,0
108-118,0,0,0,1.53,1.53,0,13.79,0.77,0,2.3,104.94,0.77,3.83,1.53,1.53,1.53,0.77,1.53,0.77,138.64,0,4.6,12.26,29.11,0.77,0,6.89,0,9.19,0.77,0,0,1.53,0,0,3.83,0,1.53,62.81,4.6,0.77
120,0,0,0,1.96,0,1.96,11.76,0,0,3.92,109.75,0,3.92,1.96,1.96,1.96,1.96,0,1.96,113.67,1.96,5.88,5.88,25.48,0,0,3.92,0,5.88,1.96,1.96,0,0,0,0,3.92,0,3.92,64.67,5.88,0
