stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,3413.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0,0,0
  5-6,232.93,3138.37,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.43,0,0,0,24.52,0,49.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,81.49,23.66,15.77,0,0,0,15.77,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,515.23,39.43,0,0,249.73,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,3.15,0,28.32,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,163.64,53.5,0,0,91.26,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,3,42,13,0,4,1,0,2,2,1,0,0,0,1,0,9,0,28,0,0,13,60,204,0,2,18,0,1,0,24,8,0,13,19,0,0,4,0,0
 24-34,0,0,1.64,14.78,1.64,0,9.85,0.82,1.64,4.93,0.82,0,2.46,4.1,0,4.93,0,12.31,0,48.43,0,0,27.09,50.89,42.68,0,1.64,0,0,0.82,0,0,9.03,0,4.1,17.24,0,0,29.55,0,0
 36-46,0,0,0,4.83,0,0,4.83,0,3.22,1.61,0,0,1.61,4.03,0,7.25,0.81,0.81,4.03,78.96,0.81,3.22,15.31,30.62,28.2,0,2.42,0,0,0.81,0,0,0,0,0,8.86,0,0,10.47,0,0
 48-58,0,0,0,5.16,1.15,0,4.02,1.15,5.16,4.02,0,0,0,2.87,0,9.75,0.57,0.57,7.46,79.76,0,0.57,14.92,14.35,11.48,0,0.57,0,0.57,0.57,0,0,0,0,0,6.31,0,1.15,9.18,0,0
 60-70,0.98,0,0,2.94,0,0,4.91,0.98,1.96,24.54,0.98,0,1.96,4.91,0,13.74,0,0,4.91,121.71,0,1.96,6.87,11.78,11.78,0,0.98,0,0,0,0,0,0.98,0,0,0,0,1.96,10.8,0,0
 72-82,0,0,0,2.94,2.94,0,21.6,1.96,8.83,31.41,3.93,0,1.96,3.93,0,9.82,0,0,5.89,240.51,0,5.89,8.83,23.56,1.96,0,2.94,0,1.96,0,0,0,0.98,0,0,1.96,0.98,3.93,24.54,2.94,0
 84-94,0,0,0,4.25,1.06,0,20.18,4.25,9.56,20.18,5.31,0,4.25,13.81,0,18.05,3.19,2.12,7.43,155.06,0,6.37,14.87,4.25,7.43,1.06,5.31,0,0,0,0,0,1.06,0,0,0,0,3.19,15.93,3.19,1.06
 96-106,0,0,0,4.37,0,0,31.69,0,3.28,30.6,6.56,0,5.46,18.58,1.09,28.41,1.09,1.09,2.19,150.81,0,4.37,8.74,26.23,3.28,2.19,3.28,0,1.09,1.09,0,0,1.09,1.09,0,1.09,0,2.19,25.14,5.46,0
108-118,0,0,0,7.66,1.53,0,26.81,3.83,2.3,18.38,5.36,0,0,14.55,0,30.64,0.77,4.6,14.55,120.26,0,1.53,9.19,19.92,4.6,0,2.3,0,0.77,0.77,0,0,0.77,0,0,0,0,2.3,19.92,2.3,2.3
120,1.96,0,1.96,9.8,0,1.96,11.76,5.88,1.96,15.68,3.92,0,0,15.68,0,19.6,0,5.88,15.68,60.75,0,3.92,3.92,13.72,7.84,0,0,0,1.96,0,0,0,0,0,0,0,0,3.92,11.76,3.92,1.96
