stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,43,0,0,2,0,0,7,0,65,305,4,0,0,0,0
 24-34,0,0,0.82,0.82,0,1.64,2.46,0.82,0,1.64,0,1.64,0,0,0,0,0,1.64,0,6.57,16.42,11.49,0,0,0,0,1.64,0,1.64,27.91,105.07,5.75,0,0.82,0,0
 36-46,0,0,0,0,0,3.22,7.25,0,0,0,0,3.22,0,0,0,0,0,1.61,0,3.22,24.17,6.45,0.81,0.81,0,0,1.61,0,2.42,20.14,3.22,8.06,0,0,0,0.81
 48-58,0,0,0,0,0,8.61,5.16,0.57,0.57,2.87,0,3.44,0,0,0,1.15,0,4.59,0.57,4.02,33.85,2.3,0,0,0,0,2.3,0,1.72,14.92,0.57,10.9,1.15,0,0,0.57
 60-70,0,0,0,0,0,15.7,18.65,0,0.98,15.7,0,3.93,0,0,0,0,0,15.7,1.96,6.87,38.28,2.94,0.98,0.98,0.98,0.98,0.98,0,0,18.65,0,2.94,4.91,0,0,0.98
 72-82,0,0.98,0,3.93,0.98,24.54,18.65,0.98,0.98,66.75,0,4.91,0,0,0,0,0,53.01,2.94,11.78,59.88,1.96,0,0,0,2.94,3.93,0,4.91,3.93,0,2.94,9.82,0.98,1.96,0
 84-94,0,0,0,2.12,0,15.93,23.36,0,0,31.86,0,4.25,1.06,0,1.06,0,0,26.55,3.19,8.5,25.49,3.19,0,0,0,0,0,0,9.56,6.37,0,2.12,3.19,1.06,0,0
 96-106,0,0,0,3.28,0,21.86,42.62,1.09,0,68.85,1.09,8.74,0,1.09,0,0,0,43.71,3.28,8.74,38.25,6.56,0,0,1.09,3.28,4.37,0,8.74,9.84,0,2.19,15.3,2.19,0,0
108-118,0,0,0,2.3,0,16.85,32.17,0,0,45.96,0,5.36,0,0,1.53,0.77,0.77,37.53,3.83,9.96,32.17,3.06,0,0.77,0,0,0.77,0,4.6,10.72,0,1.53,11.49,0,0,0
120,0,0,0,3.92,0,19.6,37.24,0,0,74.47,3.92,1.96,1.96,0,0,0,0,21.56,7.84,9.8,27.44,5.88,0,0,0,9.8,3.92,0,5.88,7.84,0,1.96,13.72,0,0,0
