stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,1,1,5,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,2.46,0,0,0.82,15.6,0,0.82,0,0,4.1,0,0,1.64,3.28,0,0
 36-46,0,0.81,0,4.03,0,0,1.61,1.61,0,0.81,0,0,0,0,0.81,0.81,0,0,0,23.36,0,0,0,0,4.83,0,0,1.61,3.22,0,0.81
 48-58,0,0,0,5.74,0,0,0,1.72,0,0.57,0,0,0,0,0,5.74,0,0.57,0.57,26.97,0,0.57,0,0,5.74,0,0,4.59,4.02,0,0
 60-70,0,2.94,0,11.78,0.98,0.98,0,1.96,1.96,0.98,0.98,0,0,0,0,9.82,0,0.98,0,39.26,0,0,0,0,11.78,0,0,2.94,1.96,0,0
 72-82,0,0.98,0.98,10.8,0,0,0.98,10.8,0,1.96,0,0,0,0,0.98,12.76,0,0,0,23.56,0.98,0.98,1.96,0,12.76,0,0,3.93,7.85,0,0.98
 84-94,0,0,1.06,7.43,0,1.06,0,3.19,3.19,0,3.19,2.12,0,0,0,6.37,0,0,1.06,6.37,0,0,1.06,0,28.68,0,0,0,4.25,1.06,0
 96-106,0,2.19,0,6.56,0,0,0,4.37,1.09,0,6.56,0,1.09,0,0,8.74,1.09,0,1.09,20.76,0,2.19,0,0,40.44,0,0,0,3.28,1.09,0
108-118,0,4.6,0,3.83,0,3.06,0,3.06,4.6,0,2.3,0.77,0.77,0,0,6.89,0.77,2.3,2.3,9.19,0,0.77,0.77,0,31.4,0,0,0.77,3.06,1.53,0.77
120,1.96,13.72,0,3.92,0,5.88,0,7.84,1.96,1.96,7.84,0,0,0,0,7.84,0,1.96,0,21.56,1.96,0,0,0,56.83,0,0,0,3.92,0,0
