stage,axial,blastomeres,endoderm,erythrocytes,eye,glial,hatching_gland,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,vasculature
  3-4,737.96,17184.03,0,0,0,0,0,0,0,0,0,0,0,593.01,0,0,0,0
  5-6,404.56,4401.08,0,0,0,0,6.13,0,0,110.33,6.13,0,30.65,55.17,0,0,0,0
  7-9,2.63,5.26,2.63,0,0,0,5.26,0,0,86.75,2.63,0,15.77,0,28.92,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,22.03,0,0,12.59,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0
 36-46,0,0,0.81,0,0.81,0,0,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.72,0.57,0,1.15,0,3.44,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,1.09,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
