stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,6.29,0,0,12.59,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,6,3,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,58,1,0,1,0,0,0,4,0,2,3,24,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,12.31,0,0,0.82,1.64,0.82,0,1.64,0.82,0.82,0.82,0,0,0,3.28,0,0,4.1,84.55,0.82,0,0,0,0,3.28,0,0.82,0,0,20.52,0,0,0.82,0,0.82
 36-46,0,0,0,0.81,0,0,10.47,0,0,0,6.45,0,0,1.61,0,0,0,0.81,0,0,7.25,0,0,3.22,42.7,0,0.81,2.42,0,0,2.42,0,0.81,0,0,11.28,0,0,0.81,0,2.42
 48-58,0,0,0,0.57,0,0,9.75,0,0,0,4.59,0.57,0,0,0.57,0,0,0,0,1.72,6.31,0.57,0,1.15,11.48,0.57,0.57,2.3,0,0,5.74,0,0,0.57,0,10.9,0,0,1.72,0,0.57
 60-70,0,0,0,1.96,0,0,20.61,0,0.98,0,6.87,0,0.98,0.98,4.91,0,0,0.98,0,1.96,11.78,0,0,0.98,4.91,0,0,0,0,0,7.85,0,1.96,0,0,2.94,0,0,2.94,0,3.93
 72-82,0,0,0,0.98,3.93,0,17.67,0,0,0.98,10.8,1.96,0,1.96,4.91,1.96,0,0.98,0,0,17.67,1.96,0,1.96,15.71,0,2.94,2.94,0,0,16.69,0,0,0,0,0.98,0,0.98,4.91,0,0
 84-94,0,0,0,4.25,2.12,0,11.68,0,2.12,1.06,5.31,7.43,0,1.06,9.56,2.12,0,0,1.06,3.19,18.05,1.06,0,1.06,13.81,0,1.06,3.19,0,0,52.04,0,2.12,0,0,2.12,1.06,1.06,4.25,1.06,0
 96-106,0,0,0,10.93,5.46,1.09,12.02,0,0,0,6.56,2.19,0,0,15.3,0,0,3.28,0,0,7.65,1.09,0,1.09,16.39,0,2.19,6.56,0,2.19,72.13,0,1.09,0,0,1.09,1.09,0,2.19,0,2.19
108-118,0,0.77,0,8.43,5.36,0,13.79,0.77,3.06,0.77,14.55,7.66,0,0.77,7.66,3.83,3.06,1.53,2.3,0.77,19.15,2.3,1.53,1.53,15.32,0,1.53,3.06,0,0.77,41.36,0,0.77,0,0,1.53,2.3,0,5.36,0,3.83
120,0,0,0,7.84,7.84,1.96,7.84,1.96,1.96,0,3.92,3.92,0,0,7.84,3.92,1.96,0,3.92,0,27.44,0,0,5.88,19.6,0,7.84,1.96,0,0,48.99,0,0,0,0,1.96,1.96,0,7.84,0,0
