stage,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,ionocyte,lateral_line,mesenchyme,mucous,neural,notochord,periderm,presomitic_mesoderm,spinal_cord,taste
  7-9,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,2.46,0,0.82,0,0,0
 36-46,0,0.81,0,2.42,0,0,0,0,0,0.81,0,0.81,0,0,0
 48-58,0,0.57,0,0.57,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0.98,0,0.98,0,0,0.98,0,1.96,0,0.98,0,0,0
 72-82,0,1.96,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0
 84-94,0,1.06,0,3.19,1.06,0,1.06,0,0,0,0,1.06,0,1.06,0
 96-106,0,2.19,0,0,0,0,0,1.09,1.09,2.19,1.09,0,0,0,0
108-118,0,3.83,0.77,3.06,0,0,0,0.77,0,0.77,0,0,0,0,0.77
120,0,3.92,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0
