stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,0,4.93,0,0,1.64,2.46,0,0,0,4.93,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,3.22,0,0,2.42,3.22,0,0,0,3.22,0,0,0,0,0
 48-58,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0.57,5.74,0,0.57,1.72,1.72,0,0,0,3.44,0,0,0,0,0
 60-70,0,0,0.98,0,3.93,0.98,0,0,0,3.93,5.89,0,0,0.98,0,0,0.98,0,0,11.78,0,0,0,0,0.98,0,0,0,0,0
 72-82,0.98,0,3.93,0,63.81,3.93,0,0,1.96,18.65,16.69,0,0,0,0,5.89,1.96,0,0,22.58,0,0,0,0.98,0.98,0,0,0,0,0
 84-94,0,0,2.12,0,122.13,6.37,0,0,2.12,83.9,18.05,0,0,5.31,0,3.19,2.12,1.06,0,28.68,9.56,0,1.06,1.06,0,1.06,0,0,1.06,0
 96-106,1.09,0,2.19,1.09,245.89,7.65,0,0,3.28,99.45,32.79,0,0,1.09,0,6.56,1.09,0,3.28,28.41,0,2.19,0,3.28,1.09,0,1.09,0,0,2.19
108-118,0,0.77,3.83,0,511.66,10.72,1.53,0.77,0,163.15,15.32,0,0,8.43,1.53,9.19,0.77,0,0.77,36.77,3.06,0,2.3,1.53,0,0,0,2.3,0,0
120,1.96,0,0,0,203.82,5.88,0,0,0,66.63,13.72,1.96,1.96,0,0,3.92,0,0,0,17.64,0,0,0,1.96,0,0,0,0,0,0
