stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,neural,pgc,pronephros
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0
  5-6,12.26,18.39,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0.82,0,2.46
 36-46,0,0,1.61,0.81,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0.57
 60-70,0,0,1.96,0,0,0,0,0,0,0,0.98
 72-82,0,0,0.98,0,0,0.98,0,1.96,0,0,1.96
 84-94,0,0,4.25,0,0,0,1.06,0,1.06,0,0
 96-106,0,0,2.19,0,1.09,0,0,1.09,1.09,0,0
108-118,0,0,4.6,0,0.77,0,0,0,0,0,0
120,0,0,13.72,0,0,0,0,1.96,0,1.96,0
