stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,711.04,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,0,10.51,13.14,0,0,21.03,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,160.35,13.14,0,0,78.86,5.26,0,0,0,0,0,0
 10-12,0,6.29,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.73,3.15,0,0,44.06,0,0,6.29,0,0,0,0
 14-21,0,0,0,12,2,3,0,0,1,1,0,0,0,1,0,0,0,0,4,0,0,3,37,1,0,1,2,1,9,1,3,15,0,0
 24-34,0,0,0,0.82,0,7.39,0,0,0.82,0,0,0,1.64,1.64,0,0,0,0,6.57,0,0,3.28,44.33,0.82,0,0.82,0,10.67,0,0,2.46,10.67,0,0.82
 36-46,0,0,0,0.81,0,8.06,0.81,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,3.22,26.59,0,0,0.81,0,10.47,0,0,0,10.47,0,0
 48-58,0,0,0,0.57,0,25.25,0,0,1.15,0.57,0,0,0.57,0,1.15,0,0,0,13.2,0,0,1.72,30.41,0,0,0,0,2.3,0,0,0,4.02,1.72,0
 60-70,0,0,0,0.98,0,11.78,0,0,0.98,0,0,0,0,0.98,0,0,0,0,6.87,0,0,0.98,27.48,0,0.98,0,0,3.93,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,22.58,0,0,0.98,0,0,1.96,0.98,0,0,0,0,0.98,18.65,0,0,0,21.6,0,0,0,0,1.96,0,0,0,4.91,0,0
 84-94,0,0,0,0,1.06,3.19,0,0,1.06,0,0,0,3.19,0,0,1.06,0,0,8.5,1.06,0,1.06,15.93,0,0,0,0,2.12,0,0,0,3.19,2.12,0
 96-106,0,0,0,3.28,0,13.11,0,1.09,3.28,1.09,0,0,3.28,0,1.09,0,1.09,0,5.46,0,0,1.09,8.74,0,0,0,0,1.09,0,0,0,1.09,1.09,0
108-118,0,0,0,0,0,6.13,0,0,3.83,0,0,0,0.77,0,0.77,0,0,0,3.83,0,0.77,0.77,9.96,0,0,0,0,3.06,0,0,0,1.53,0,0.77
120,0,0,0,1.96,1.96,3.92,0,0,0,0,0,0,1.96,0,0,0,0,0,9.8,0,0,1.96,5.88,0,0,0,0,3.92,0,0,0,0,0,0
