stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,37.76,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51,0,2,0,0,0,0,0,0,1,40,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,4.93,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0.82,0,0,1.64,458.04,0,8.21,0,0,0,0,0,0,0,134.62,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,22.56,0,1.61,0,2.42,0,0,0.81,0,0,0,0,0,7.25,0,0,0,1554.94,0,10.47,0,0,0,1.61,0,0,0,261.04,0,0,0,0,0
 48-58,0,0,0,0,5.16,0,0,152.06,0,1.15,2.87,23.53,0,0.57,0,0,1.15,1.15,0.57,1.15,15.49,0.57,0,2.3,2167.83,1.15,6.89,1.72,0,0,0,0.57,0.57,0,345.43,0,0,1.72,0,1.15
 60-70,0,0,0,0,3.93,0,0,388.68,0.98,0.98,0.98,15.7,0,0,0,0,0.98,0,0.98,0,15.7,0,0.98,2.94,2526.44,0,14.72,1.96,0,0,1.96,0,0,0,351.38,0,0,0.98,0,0
 72-82,0,0,0.98,0,11.78,5.89,0,451.56,0,0.98,0.98,32.39,0.98,0,0,0.98,0.98,0,0,0,23.56,0.98,0.98,3.93,2154.75,0,21.6,1.96,0,0,2.94,0,0,0,218.91,1.96,0.98,0,0.98,0
 84-94,0,0,1.06,0,15.93,2.12,0,316.49,0,0,2.12,35.05,2.12,0,1.06,0,2.12,0,1.06,2.12,23.36,0,2.12,3.19,967.52,0,7.43,1.06,0,0,4.25,0,0,0,111.51,1.06,1.06,2.12,0,2.12
 96-106,0,0,0,1.09,10.93,2.19,2.19,231.68,0,0,0,24.04,2.19,0,3.28,1.09,0,0,0,0,26.23,0,0,0,833.84,0,21.86,2.19,0,0,4.37,0,0,0,46.99,0,1.09,0,0,0
108-118,0,0,0.77,0,12.26,0.77,0,155.49,0.77,1.53,0.77,17.62,0,0,2.3,0,0.77,0,0,0,12.26,0.77,0,0.77,821.88,0,5.36,0.77,0,0.77,3.06,0,0,0,23.74,0.77,0,3.83,0,0.77
120,0,0,0,0,13.72,1.96,0,133.27,1.96,0,0,17.64,0,0,0,0,0,0,0,0,21.56,1.96,0,1.96,738.84,3.92,17.64,0,0,0,0,0,0,0,11.76,0,0,1.96,0,0
