stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros
  3-4,39.53,566.65,0,0,0,0,0,0,26.36,0,0
  5-6,18.39,619.09,0,0,0,12.26,6.13,0,6.13,0,0
  7-9,13.14,10.51,10.51,10.51,7.89,257.61,0,97.26,0,2.63,0
 10-12,0,12.59,9.44,15.73,0,195.11,9.44,40.91,0,6.29,9.44
