stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,30.65,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.56,6.13,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,52.57,7.89,0,5.26,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,178.75,92,0,0,499.46,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,25.18,0,3.15,15.73,0,0,0,3.15,0,0,0,0,0,0,141.61,78.67,0,0,472.05,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,5,1,0,32,0,0,0,3,0,6,0,4,66,21,1,8,61,0,1,49,0,0,4,108,0,0
 24-34,0,0,0,0,0,0,0.82,1.64,18.88,0,0,0,0.82,0,5.75,0,0.82,74.7,1.64,0.82,1.64,0,0.82,0,0.82,1.64,0.82,3.28,95.22,1.64,0
 36-46,0,0,0,0,0.81,0,2.42,0.81,15.31,0,0,0,0,0,4.83,0,2.42,82.98,0.81,4.83,2.42,0,0,0.81,0,0.81,0.81,0,67.68,0.81,0
 48-58,0,0,0,0,0,0,8.03,0,43.04,0,0,1.15,0,0,5.16,0,2.87,87.79,0,3.44,6.31,0,0,0,0,0,0,0,54.51,0,0.57
 60-70,0,0,0,0,0.98,0,10.8,0.98,31.41,0,0,0.98,0,0,2.94,0,1.96,77.54,0,2.94,6.87,0,0,0,0,0,0,0,28.46,0,0
 72-82,0,0,0.98,0,0,0,21.6,0.98,32.39,0,0,0,0,0,6.87,0,0.98,119.76,0,7.85,26.5,0,0,0,0,0.98,0,0,25.52,0.98,0
 84-94,0,0,1.06,0,1.06,0,19.12,0,22.3,1.06,0,3.19,1.06,0,4.25,0,0,57.35,0,15.93,20.18,0,0,0,0,1.06,0,0,24.43,0,0
 96-106,0,0,0,0,0,0,8.74,0,22.95,0,0,1.09,1.09,1.09,5.46,0,1.09,50.27,0,16.39,28.41,0,1.09,0,0,0,0,0,8.74,0,0
108-118,0,0,0,0,1.53,0,17.62,0,12.26,0.77,0,1.53,0.77,0,2.3,0.77,0.77,81.19,0.77,15.32,28.34,0,0,0,0,0,0.77,0,10.72,0,0
120,0,0,0,0,1.96,0,9.8,0,17.64,0,0,1.96,1.96,0,1.96,0,0,58.79,0,11.76,13.72,0,0,0,0,1.96,0,0,13.72,0,0
