stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,hatching_gland,heart,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,140.98,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,7.89,0,0,2.63,0,0,0,0,0,49.95,0,13.14,0,2.63,0,0
 10-12,0,0,3.15,0,9.44,0,0,0,0,0,0,0,0,50.35,0,15.73,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,0,14,0,1,0,0,3,8
 24-34,0,0,0,0.82,4.1,0,0.82,0,0,0,1.64,0.82,0,19.7,1.64,0,0.82,0,0,3.28
 36-46,0,0,0,0,5.64,0,0.81,0,0,0,1.61,0,0,10.47,0,0,0,0,0,2.42
 48-58,0,0,0,0,3.44,0,0,0,0.57,0.57,1.15,0,0,3.44,0.57,0,0,0,0,1.72
 60-70,0,0,0,0,1.96,0,0.98,0,0,0,2.94,0,0,4.91,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0.98,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0.77,0.77,0,0,0,0.77,0,0,2.3,0,0,0.77,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,1.96,1.96,0,1.96,0,0,0
