stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,melanocytes,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,2.42,0,0,0,0.81
 48-58,0,0,0,0.57,0,0,0.57,0,1.15,0,0,1.15,1.15,0,0,0
 60-70,0,0,1.96,0,0,0,0,0,0,0.98,0,0,2.94,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,5.89,0,0,0.98,7.85,0,0,0
 84-94,0,0,5.31,2.12,0,0,1.06,0,3.19,1.06,0,0,27.61,0,1.06,0
 96-106,0,0,19.67,0,0,0,1.09,1.09,10.93,0,1.09,0,36.06,0,2.19,0
108-118,0,0,24.51,0,0.77,0,0.77,0,25.28,0,0,2.3,36.77,0,0.77,0
120,0,0,7.84,0,0,1.96,0,0,7.84,0,0,0,17.64,0,1.96,0
