stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,312.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,12.26,6.13,0,0,0,0,0,0
  7-9,18.4,13.14,42.06,0,0,21.03,0,0,0,13.14,0,0,0,0,0,0,244.47,57.83,0,128.81,0,0,0,0,0,0,0
 10-12,0,12.59,15.73,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,223.43,18.88,0,62.94,0,0,3.15,0,0,0,0
 14-21,0,0,2,2,3,6,0,0,1,1,2,0,0,4,0,3,41,3,0,1,0,7,0,1,4,17,2
 24-34,0,0,0,0,0,6.57,0.82,0,0,0,0,0,0,4.93,0,0.82,28.73,2.46,2.46,0,0,0,0,0,0,10.67,3.28
 36-46,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,5.64,0,0,16.11,1.61,1.61,0,0,0,0,0,0,4.83,0.81
 48-58,0,0,0,0,0,5.16,1.72,0.57,1.72,0,0,0,0.57,5.74,0,0,7.46,0.57,1.15,0,1.15,0,0,0,0,4.59,0.57
 60-70,0,0,0,0.98,0,0.98,0,0,0.98,0,0,0,0,8.83,0,0,9.82,0,0.98,0,2.94,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,1.96,0.98,0.98,1.96,0,1.96,0,0,13.74,0,0,5.89,1.96,0,0,3.93,0,0,0,0,0,0.98
 84-94,0,0,0,3.19,2.12,5.31,0,0,0,0,0,1.06,0,1.06,0,4.25,5.31,2.12,0,0,21.24,0,0,0,0,0,1.06
 96-106,0,0,0,4.37,2.19,2.19,0,0,2.19,0,1.09,0,0,7.65,0,3.28,0,0,0,0,17.49,0,0,0,0,0,1.09
108-118,0,0,0,2.3,2.3,6.13,0,0,1.53,0,0.77,2.3,0.77,5.36,1.53,3.06,3.06,0,0.77,0,13.79,0,1.53,0,0,0,1.53
120,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,1.96,0,1.96,5.88,1.96,0,0,3.92,0,0,0,0,0,0
