stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,21,0,2,0,0,0
 24-34,0,0,0,2.46,0,0,1.64,0,0,0,0,2.46,0,23.8,4.93,0.82,0,4.1,0,12.31,8.21,4.1,0,35.3,0,2.46,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,12.89,2.42,0,0.81,4.03,0,31.42,9.67,1.61,0,23.36,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,2.87,0.57,0,0,0,3.44,0,3.44,5.16,0.57,1.15,3.44,0,12.05,4.59,5.16,0,18.36,0.57,2.87,0,0,0
 60-70,0,0,0,3.93,0,0,0.98,0,0,0,0.98,1.96,0,6.87,3.93,0,0,4.91,0,12.76,13.74,5.89,0,22.58,0,0,0.98,0,0
 72-82,0,3.93,0,2.94,0,0,3.93,0.98,0.98,3.93,4.91,0.98,0,7.85,3.93,0.98,0.98,3.93,0,8.83,11.78,12.76,0,33.38,0,0.98,4.91,0,0
 84-94,0,1.06,0,8.5,0,0,1.06,0,3.19,1.06,9.56,2.12,0,12.74,6.37,1.06,3.19,9.56,0,7.43,10.62,18.05,0,69.03,2.12,0,4.25,0,0
 96-106,0,4.37,0,15.3,1.09,0,5.46,0,0,1.09,10.93,0,0,18.58,5.46,3.28,3.28,4.37,1.09,9.84,14.21,16.39,0,48.09,1.09,1.09,5.46,1.09,0
108-118,0,2.3,0,19.15,0,4.6,0.77,0,0.77,0.77,11.49,0,1.53,14.55,6.13,5.36,3.06,3.83,0,4.6,12.26,14.55,0,37.53,0,0,13.02,0,0
120,0,0,0,19.6,1.96,3.92,0,0,1.96,0,15.68,0,0,19.6,3.92,3.92,0,5.88,0,1.96,19.6,15.68,0,58.79,0,0,11.76,0,0
