stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,9,1,5,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,3.28,0,4.93,0,0,1.64,0.82,0,0.82,0,0,2.46,0,0,2.46,9.85,0,0.82,0,66.49,0,0.82,4.93,2.46,0,0,0.82,0
 36-46,0,0,0.81,0,3.22,0,3.22,0,1.61,0,0,0.81,0.81,0,0,0,0,3.22,0,0,0.81,27.39,0,0,0,53.17,0,0,0,1.61,0,0,0,0.81
 48-58,0,0,0,0,0.57,0.57,9.18,0.57,1.15,0,1.15,0,0,0,0.57,0,0,2.3,0.57,0,0,27.54,0,0,0,41.31,0,0,0,4.59,0,0,0,0.57
 60-70,0,0,0,0,2.94,0,63.8,0,0.98,0.98,3.93,0.98,0,0,0,0,0,2.94,0,0,0,48.09,0,0,0,29.45,0,0,0,4.91,0,0.98,0,0
 72-82,0,0,0,0,4.91,0,122.71,0,2.94,0.98,0,0.98,0,0,0,0,0,10.8,0.98,0.98,0.98,47.12,0,0.98,0,23.56,0,0,0,0.98,0.98,0,0,0
 84-94,0,0,0,0,7.43,0,108.33,0,1.06,0,1.06,0,1.06,0,0,1.06,0,5.31,0,1.06,0,13.81,0,0,0,46.73,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,14.21,0,155.18,0,2.19,0,1.09,0,0,1.09,0,0,0,5.46,1.09,0,0,21.86,0,0,0,43.71,0,1.09,0,0,1.09,0,0,0
108-118,0,0,0,0,9.19,0.77,116.43,0,1.53,0,2.3,2.3,0,0,0,0,0.77,2.3,0,0,0,18.38,0,1.53,0.77,24.51,0,0,0,0,1.53,0,0,0.77
120,0,0,0,0,15.68,0,127.39,0,5.88,0,3.92,0,0,0,0,1.96,0,0,0,0,0,17.64,0,0,0,11.76,0,0,0,0,1.96,0,0,0
