stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,2727.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,925.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,21.03,0,13.14,0,0,97.26,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,486.31,23.66,0,0,202.41,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,28.32,0,44.06,0,40.91,62.94,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,594.78,37.76,0,0,204.55,0,0,6.29,3.15,22.03,6.29,0,0,0,0,0,0
 14-21,0,0,0,2,101,53,40,0,0,0,9,4,0,7,0,4,1,1,0,1,87,0,0,61,379,5,4,6,7,0,0,0,41,11,56,121,0,0,5,0,0
 24-34,0,0.82,0,2.46,15.6,4.1,45.97,0,0.82,1.64,13.13,0,0,9.03,0.82,9.85,0.82,1.64,0.82,4.1,74.7,0,0,37.76,671.46,0,18.88,7.39,0,0.82,0,0,0.82,18.88,13.95,180.59,0,0,28.73,0,4.1
 36-46,0,0,0,0.81,5.64,3.22,165.16,0,3.22,0.81,37.87,0.81,0,4.83,0,2.42,4.83,1.61,1.61,5.64,73.32,5.64,1.61,20.95,826.62,0,33.03,2.42,0,0.81,0.81,0,0,9.67,0,217.53,0,0,7.25,0,3.22
 48-58,0,0,0,0,8.03,0,242.72,0.57,3.44,3.44,56.81,0.57,0,1.72,2.3,3.44,16.64,2.87,0,6.31,99.27,4.59,4.59,16.64,571.51,0.57,25.82,2.3,0,0.57,0.57,0,0,5.74,0,181.9,0,0,8.61,0,4.02
 60-70,0,0,0.98,0,10.8,0,232.62,0,2.94,3.93,48.09,3.93,0,5.89,5.89,3.93,23.56,0.98,0,4.91,100.12,2.94,2.94,13.74,370.03,0,20.61,2.94,0,1.96,1.96,0,0,10.8,0,73.61,2.94,0,14.72,0,0.98
 72-82,0,0,2.94,0,22.58,0.98,161.97,0,7.85,7.85,45.16,11.78,0,1.96,3.93,7.85,27.49,6.87,0,4.91,112.89,12.76,2.94,15.71,290.57,0,61.84,3.93,0,0.98,1.96,0,0,21.6,0,29.45,8.83,3.93,20.61,1.96,1.96
 84-94,0,0,0,0,30.8,2.12,103.02,1.06,16.99,3.19,35.05,20.18,0,3.19,11.68,9.56,35.05,12.74,0,4.25,69.03,7.43,3.19,11.68,150.81,0,31.86,5.31,0,1.06,2.12,0,0,27.61,0,15.93,25.49,3.19,19.12,1.06,0
 96-106,0,0,4.37,0,77.59,2.19,79.78,0,10.93,5.46,27.32,26.23,0,8.74,13.11,17.49,50.27,19.67,3.28,8.74,63.39,12.02,2.19,14.21,101.63,0,76.5,4.37,0,2.19,7.65,2.19,0,36.06,0,13.11,63.39,2.19,29.51,5.46,3.28
108-118,0,0,3.06,0.77,88.85,5.36,65.87,0.77,31.4,1.53,20.68,21.45,0,2.3,12.26,10.72,66.64,10.72,0.77,5.36,50.55,5.36,0.77,6.89,147.83,0,49.02,5.36,0,0,8.43,0,0,23.74,0,2.3,51.32,2.3,23.74,0.77,1.53
120,0,0,3.92,0,82.31,1.96,39.2,0,19.6,5.88,25.48,13.72,0,1.96,13.72,7.84,29.4,7.84,0,1.96,45.08,1.96,3.92,13.72,103.87,1.96,41.16,3.92,0,1.96,7.84,0,0,11.76,0,0,21.56,0,29.4,0,0
