stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,7.39,0.82,0.82,0,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,3.22,0,0.81,5.64,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,2.87,0,1.15,0,0,0.57,0,0,0,0,4.02,0,0,5.74,0,0,0,0.57,0,2.3,0.57,0,0,0.57
 60-70,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,5.89,0,0,2.94,0,0,0,0,0,0.98,0.98,0.98,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0.98,5.89,0,0.98,4.91,0,0.98,0,0,0,0.98,0,0.98,0,0
 84-94,0,0,1.06,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,3.19,0,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,0,0,1.09,0,0,0,0,0,1.09,0,5.46,1.09,1.09,3.28,0,0,0,2.19,0,0,0,0,0,0
108-118,0,0,1.53,0.77,0,0.77,0,0,0,0,0.77,0.77,0.77,0,0,4.6,0,0,2.3,0.77,0.77,0,1.53,0,0,0.77,0,0.77,0
120,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,7.84,0,0,1.96,0,0,0,0,0,0,0,0,0,0
