stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,2,1,0,2,0,0,0,3,0,0,0,0,2,0,0,0,1,3,0,0,5,26,1,0,0,1,0,2,1,0,0,3,9,0,0,1,0,0
 24-34,0.82,0,1.64,0.82,0,6.57,0,0,0,1.64,1.64,0,0,2.46,0,0,0,0,0,2.46,0,0,2.46,58.28,1.64,3.28,0,0,0,10.67,0,0,0,0.82,14.78,0,0,8.21,0,0.82
 36-46,0.81,0,1.61,0,0,16.11,0,0.81,0,6.45,0,0,1.61,3.22,0,0,0,0,4.03,8.06,0.81,0,1.61,98.29,0.81,4.83,0.81,0,0,10.47,0,1.61,0,0,20.95,0,0,7.25,0,1.61
 48-58,0,0,1.15,0,0,30.41,0.57,0,1.15,12.62,0,1.15,0.57,2.3,0,0.57,0.57,0.57,1.15,9.75,0.57,0.57,2.3,78.04,0,2.87,2.3,0,0,7.46,0,0.57,0,0,20.66,0,0.57,4.59,0,1.15
 60-70,0,0,0.98,0,0,67.73,0,0.98,0,45.15,0.98,0,0.98,8.83,0,0.98,0.98,0,0.98,45.15,0.98,1.96,3.93,81.47,0,1.96,0.98,0,1.96,17.67,0,0.98,0,0,14.72,0,0,9.82,0,1.96
 72-82,0.98,0,4.91,3.93,0,56.94,0,0.98,0,43.19,3.93,0,2.94,8.83,0.98,1.96,0.98,1.96,0,67.73,0.98,1.96,0.98,70.68,0,5.89,2.94,0,0,28.47,0,0,0,0,5.89,0,0,21.6,0.98,0.98
 84-94,0,0,6.37,1.06,0,30.8,1.06,0,1.06,22.3,2.12,0,0,12.74,0,1.06,1.06,0,3.19,35.05,2.12,1.06,4.25,29.74,0,2.12,1.06,0,1.06,57.35,0,1.06,1.06,0,7.43,3.19,1.06,11.68,0,0
 96-106,1.09,0,12.02,2.19,1.09,20.76,0,3.28,0,17.49,5.46,0,0,8.74,2.19,4.37,1.09,1.09,0,26.23,3.28,1.09,1.09,42.62,1.09,3.28,3.28,0,1.09,55.74,0,0,0,0,5.46,1.09,1.09,19.67,2.19,0
108-118,0.77,0.77,9.96,1.53,0,17.62,0,0,0,12.26,9.96,0,0,9.19,3.06,2.3,1.53,1.53,2.3,18.38,2.3,0.77,1.53,37.53,0,1.53,0,0,0.77,40.6,0,0.77,0,0,3.83,1.53,0,5.36,0.77,3.06
120,0,0,11.76,0,0,23.52,0,3.92,0,21.56,5.88,0,0,15.68,3.92,1.96,0,0,0,11.76,0,0,1.96,37.24,1.96,9.8,0,0,0,66.63,0,0,0,0,1.96,1.96,0,5.88,0,0
