stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,7.89,0,0,5.26,0,0,0,0,0,0,0,0,0,42.06,7.89,0,0,21.03,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,3.15,0,6.29,3.15,0,0,0,0
 14-21,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,24,0,0,0,4,0
 24-34,0,0,4.93,1.64,0.82,0,0.82,0,0.82,0,0,0,2.46,0,0,1.64,0.82,0,0,5.75,0,0,0,0,0,87.83,0,1.64,0,4.1,0
 36-46,0,0.81,0,0,0,0,0,0,1.61,0,0.81,0,0.81,0,0,0.81,0,0,0,3.22,0,0,0,0,0,46.73,0,0.81,0,1.61,0
 48-58,0,0.57,0,0,0,0,0.57,0.57,4.59,0,0.57,0,0.57,0,0,2.3,0.57,0,0.57,1.72,0,0.57,0,0,0,28.69,0,0.57,0,0.57,0
 60-70,0,0.98,0,0,0,0,0,0.98,20.61,0,0,0,0.98,0,0,0,0,0,0,3.93,0,0,0,0,0,31.41,0,0,0,0.98,0
 72-82,0,8.83,0,0,0,0,3.93,0.98,79.51,0,0.98,0,0,0,0,0,5.89,0.98,0,10.8,0,0.98,0.98,0,0.98,62.83,0,0,0,0.98,0
 84-94,0,6.37,2.12,0,0,1.06,2.12,1.06,116.82,0,0,0,5.31,0,0,2.12,0,0,1.06,5.31,0,0,0,0,3.19,108.33,0,0,0,0,0
 96-106,0,4.37,1.09,1.09,0,0,2.19,2.19,123.49,0,1.09,0,6.56,0,0,3.28,5.46,0,0,26.23,0,0,0,0,2.19,120.21,0,0,0,0,1.09
108-118,0,3.06,3.83,1.53,0,0.77,3.83,2.3,145.53,0,0.77,1.53,7.66,0.77,0,3.83,2.3,0,0.77,11.49,0,0,0,0,0,113.36,0,0,0.77,1.53,0
120,0,3.92,0,1.96,1.96,0,0,0,131.31,0,0,0,3.92,0,1.96,3.92,1.96,0,0,23.52,0,0,0,0,0,62.71,0,0,0,1.96,0
