stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,12.89,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,4.03,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0
 48-58,0,0.57,0,31.56,0,0,0.57,0,0,0,0,0,0,0,0.57,0,0,0.57,5.16,0,0,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,444.63,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,8.83,0,0,0,0,0,0,0,0,0.98,0,0,0,0.98
 72-82,0,7.85,1.96,1108.3,0.98,0.98,13.74,0,0.98,1.96,0,0,0,0,11.78,0.98,1.96,0.98,47.12,0,0,0.98,0,2.94,0,0,0,3.93,0.98,0,1.96,1.96
 84-94,0,8.5,0,1133.19,1.06,0,16.99,2.12,0,0,0,1.06,0,0,9.56,0,1.06,1.06,21.24,2.12,2.12,0,0,2.12,0,1.06,0,0,0,0,0,1.06
 96-106,0,7.65,1.09,922.36,1.09,2.19,15.3,0,0,2.19,0,0,0,2.19,7.65,0,0,1.09,33.88,0,0,0,0,3.28,0,0,1.09,0,0,1.09,1.09,2.19
108-118,0,3.83,1.53,659.49,0.77,0.77,7.66,0.77,0,0,0,0.77,0,0.77,10.72,0,0,3.83,29.87,0.77,0,2.3,0,3.83,0,0.77,0,0,0,0,2.3,0
120,0,9.8,1.96,644.77,0,1.96,11.76,0,1.96,7.84,1.96,0,0,1.96,15.68,1.96,0,1.96,39.2,0,0,1.96,0,3.92,0,1.96,0,0,0,0,0,0
