stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0
 24-34,0,0,0,0.82,0,0,0,0,1.64,0.82,0,0.82,43.51,0,0.82,0.82,13.95,0,0
 36-46,0,0,0,12.09,0,0,0,0,0,0,0,0,96.68,0.81,0,0,20.95,0,0
 48-58,0,1.72,0,18.36,0.57,0.57,0,0.57,0,0,0,0,105.58,0.57,0,0,21.8,0,0
 60-70,0,0.98,0,32.39,0,1.96,0,0,1.96,0,0,0,124.65,0,0,0,14.72,0,0
 72-82,0,0,0,23.56,0,0.98,0,0,0,0,0,0,99.15,0,0.98,0,4.91,0,0
 84-94,0,1.06,0,14.87,0,4.25,0,0,2.12,0,1.06,0,41.42,0,2.12,0,3.19,0,0
 96-106,1.09,0,0,6.56,0,2.19,1.09,0,0,0,0,0,18.58,0,2.19,0,1.09,0,1.09
108-118,0,0.77,0,8.43,0,0.77,0,0,0,0,0,0.77,37.53,0.77,1.53,0,0.77,0.77,0
120,0,0,0,9.8,0,0,0,0,0,1.96,0,0,52.91,0,1.96,0,0,0,0
