stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,spinal_cord,vasculature
  3-4,13.18,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0
 14-21,0,0,0,1,12,0,0,0,1,0,6,0,0,0,0,1,2,0,0,0,1,14
 24-34,0,0,0,0,0,0,1.64,0,0,0,11.49,0,0,1.64,0,0.82,9.03,0,1.64,0,4.93,37.76
 36-46,0,0,0,0,0,0,0,0,0,0,16.11,0,0,0,0,0,10.47,0,0,0,1.61,25.78
 48-58,0,0,0,0,0,0,0.57,0,0,0,17.21,0,0,1.72,0,0.57,6.31,0,0,0,2.3,14.92
 60-70,0,0,0,0.98,0,0,0.98,0,0,0.98,24.54,0,0,2.94,0,0.98,3.93,0,0,0,0,6.87
 72-82,0,0,0,0.98,0,0,2.94,0,1.96,0,45.16,0,0,1.96,0,0.98,5.89,0,0,0,0.98,11.78
 84-94,0,0,0,1.06,0,0,2.12,0,0,0,66.91,1.06,0,2.12,0,2.12,0,0,0,0,0,11.68
 96-106,0,0,0,4.37,2.19,0,1.09,0,2.19,1.09,91.8,0,1.09,1.09,0,1.09,1.09,0,0,0,0,15.3
108-118,0,0,0.77,2.3,1.53,0.77,0,0,0,2.3,72.77,0.77,0.77,3.06,0.77,0.77,3.06,0,0,0.77,0,11.49
120,0,0,0,5.88,0,0,1.96,1.96,0,0,88.19,0,0,1.96,0,0,1.96,1.96,0,0,0,9.8
