stage,epidermis,erythrocytes,exocrine_pancreas,eye,gut,mesenchyme,neural,pericytes,periderm,spinal_cord,vascular_smooth_muscle
 14-21,0,1,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,0.81,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0.98,0,0.98,2.94,0.98,0,0,0
 72-82,0,0,0,1.96,0,0.98,1.96,0,0,0.98,0
 84-94,1.06,0,0,0,0,2.12,1.06,0,0,0,1.06
 96-106,1.09,0,0,1.09,0,0,2.19,0,2.19,0,1.09
108-118,0,0,0.77,1.53,0,0,1.53,0,0,0.77,0
120,0,0,0,0,1.96,0,1.96,0,0,1.96,0
