stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,1423.22,25736.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645.72,0,0,0,0,0,0,0,0
  5-6,1336.26,19112.2,0,12.26,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,429.07,24.52,0,0,116.46,0,232.93,0,0,0,0,0,0,0,0
  7-9,73.6,92,0,247.1,0,0,134.06,0,0,0,0,76.23,0,0,0,0,0,0,0,0,0,1748.09,94.63,0,0,1135.6,0,5.26,2.63,0,7.89,0,0,0,0,0
 10-12,0,59.79,0,169.94,0,31.47,119.58,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,1104.59,47.2,0,0,443.72,0,0,0,3.15,343.02,0,3.15,0,0,0
 14-21,0,0,3,1,8,49,1,0,0,2,1,0,4,0,0,0,0,16,0,0,9,73,1,1,1,1,0,0,0,7,0,4,27,0,3,0
 24-34,0,0,0.82,0,0.82,9.85,11.49,0.82,0,0.82,0,0,0.82,0.82,0,0,0,13.13,0,0,2.46,182.23,1.64,0,1.64,0,0,0.82,0,0,0,4.93,28.73,0,8.21,0
 36-46,0,0,0,0,4.03,2.42,33.03,0,0,8.86,0,0,0,0,0,0.81,0,19.34,0,0,5.64,211.09,0,0,0,0,0,0,0,0,0,0,48.34,0,2.42,0.81
 48-58,0,0,0,0,1.15,3.44,32.13,0,0,8.61,0,0,0.57,0,0.57,0,0,13.2,0,0,2.3,78.61,0.57,0.57,0.57,0,0,0,0,0,0,0,20.66,0,1.72,0
 60-70,0,0,0,0,0,7.85,61.84,0,0.98,15.7,0,0,0,0,0.98,0,0,25.52,0,0,3.93,99.13,0,0.98,0,0,0,0,0,0,0,0,10.8,0,0.98,0
 72-82,0,0,0.98,0,0.98,11.78,28.47,0,1.96,8.83,0.98,0,0,0,0,0,0.98,31.41,0,0,2.94,38.28,0.98,0.98,0,0,0,0,0,0,0,0,4.91,0,0,0
 84-94,0,0,1.06,0,3.19,13.81,31.86,1.06,0,3.19,2.12,0,0,1.06,0,1.06,1.06,3.19,1.06,3.19,5.31,29.74,0,0,1.06,0,0,0,0,0,0,0,6.37,0,3.19,0
 96-106,0,0,0,0,1.09,13.11,10.93,0,0,10.93,1.09,0,0,0,0,1.09,1.09,14.21,0,0,2.19,22.95,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,12.26,5.36,0,0,6.13,0,0,0.77,0.77,1.53,0,0,6.13,0,0,0.77,15.32,0.77,0,0,0,1.53,0,0,0,0,0,1.53,0.77,2.3,0
120,0,0,0,0,3.92,19.6,3.92,1.96,0,5.88,5.88,0,0,0,1.96,0,0,1.96,0,0,0,19.6,1.96,0,1.96,0,0,0,0,0,1.96,0,0,0,1.96,0
