stage,blastomeres,epidermis,erythrocytes,eye,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,6.29,6.29,3.15,3.15,3.15,0
 14-21,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1
 24-34,0,0.82,0,0,0.82,0,0.82,0,0,0.82,0,0,0,0,0
 36-46,0,0.81,0,0.81,0.81,0,0,0,0.81,1.61,0,0,0,0,0.81
 48-58,0,0,0,0,1.72,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,1.96,0,0,2.94,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,5.89,0,0,0,0,0,0,0,0,0,0
 84-94,0,2.12,0,0,9.56,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,9.84,0,0,1.09,0,0,0,0,0,0,0
108-118,0,2.3,0,0.77,8.43,0,0,0,0,0.77,0,0,0,0,0
120,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0,0,0
