stage,blastomeres,epidermis,eye,glial,gut,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,5.26,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,12.59,0,12.59,0,0,6.29,0,0
 14-21,0,1,0,1,0,0,0,1,0,0,0,4,0,0,0,1,0,2,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0.82,4.93,0,0,0,0,0,1.64,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0.81,0
 48-58,0,0,1.72,0,0,0,0,1.72,0,0,0,4.59,0,0,0,0,0,0.57,0
 60-70,0,0,1.96,0,0,0,0,0,0,0,0.98,4.91,0,0,0,0,0,0,0
 72-82,0,0,2.94,0,0,0,0.98,1.96,0,0,0,4.91,0,0,0,0,0,0.98,0
 84-94,0,0,2.12,0,1.06,0,0,2.12,1.06,1.06,0,3.19,0,0,1.06,0,0,1.06,0
 96-106,0,0,1.09,0,0,0,0,1.09,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0.77,0,0,0,0,0,3.06,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0
