stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,15.6,1.64,0,0.82,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,3.22,0,0,1.61,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,4.02,0.57,0,0.57,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,4.91,1.96,0,0.98,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0.98,0,0.98,0,0,0.98,3.93,0,12.76,1.96,0,1.96,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,5.31,0,37.17,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,8.74,0,0,4.37,4.37,1.09,191.25,1.09,2.19,29.51,0,0,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0.77,3.83,0.77,1.53,0.77,3.83,0.77,354.64,4.6,0,13.79,0.77,0,0.77,0.77,0.77,0.77,0,0,0
120,0,0,1.96,0,1.96,0,0,3.92,3.92,0,150.9,1.96,0,5.88,0,0,0,0,0,0,0,1.96,1.96
