stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,1,4,276,16,67,0,8,0,4,6,0,0,0,1,0,2,0,2,86,0,0,49,516,9,6,28,6,0,26,1,41,8,19,69,105,0,0,6,0,0
 24-34,0,2.46,4.1,72.24,2.46,41.04,0,25.45,1.64,19.7,1.64,0,5.75,0,3.28,0,30.37,0.82,0,114.1,0.82,0,46.79,716.61,1.64,10.67,43.51,0,0.82,44.33,0,0.82,8.21,2.46,11.49,100.14,0,0,18.88,0,1.64
 36-46,0,1.61,0,20.14,1.61,47.53,1.61,7.25,12.09,83.79,2.42,0,6.45,0,0,1.61,27.39,0,0,194.17,0.81,5.64,48.34,424.59,3.22,5.64,27.39,0,0,37.87,0,0,4.83,1.61,0.81,113.6,0,0,20.95,0,3.22
 48-58,0,0,0.57,14.35,0,84.35,1.72,1.15,14.92,101.56,0.57,0,2.87,0.57,0.57,1.15,21.23,0.57,0.57,212.88,0,10.9,42.46,161.81,1.72,4.59,17.21,0,1.15,33.85,0,0,1.72,2.3,0.57,56.23,0,1.15,9.75,0,2.3
 60-70,0,0.98,0,25.52,0,107.97,2.94,1.96,14.72,81.47,2.94,0,0,6.87,1.96,0.98,9.82,0.98,0,247.34,0.98,16.69,29.45,83.43,1.96,1.96,13.74,0,1.96,22.58,0,0,0,0,0,29.45,1.96,8.83,15.7,2.94,3.93
 72-82,0,3.93,0,14.72,0,75.59,0,0,28.47,70.68,9.82,0,1.96,4.91,0.98,1.96,29.45,0.98,0,263.09,0,8.83,41.23,101.11,1.96,0.98,26.5,0,2.94,13.74,0,0,2.94,0.98,0,12.76,10.8,6.87,19.63,7.85,0.98
 84-94,0,0,0,29.74,0,86.03,1.06,1.06,18.05,56.29,12.74,0,1.06,10.62,3.19,2.12,33.99,6.37,3.19,202.85,1.06,12.74,18.05,65.85,2.12,5.31,22.3,0,3.19,69.03,0,0,2.12,1.06,0,13.81,38.23,8.5,27.61,11.68,0
 96-106,0,1.09,0,46.99,2.19,65.57,2.19,6.56,17.49,61.2,21.86,1.09,3.28,12.02,3.28,0,48.09,4.37,0,187.97,3.28,8.74,22.95,73.22,4.37,13.11,41.53,0,8.74,30.6,0,0,4.37,1.09,0,9.84,55.74,10.93,29.51,19.67,0
108-118,0,3.83,2.3,22.98,0,56.68,3.83,4.6,14.55,49.02,20.68,0,3.06,9.96,1.53,8.43,23.74,8.43,0.77,144,0.77,4.6,31.4,68.17,5.36,6.13,29.87,0,3.06,29.11,0,0,6.89,0.77,0,3.83,63.57,9.96,16.09,6.89,1.53
120,0,5.88,0,31.36,3.92,41.16,1.96,0,5.88,35.28,25.48,0,1.96,13.72,1.96,3.92,17.64,1.96,1.96,96.03,1.96,0,7.84,64.67,5.88,3.92,13.72,0,1.96,3.92,1.96,0,1.96,0,0,13.72,23.52,1.96,11.76,7.84,0
