stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,melanocytes,mesenchyme,neural,paraxial_mesoderm,pericytes,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,5.26,0,0,2.63,0,0,0,0,36.8,7.89,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,40.91,15.73,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,4.93,0.82,0,0,7.39,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,12.89,0,0.81,0,0.81,0,0,0.81,0,0,0,0.81
 48-58,0,0,0,0,0,0.57,1.15,0,0,9.75,0,0,0,2.87,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,27.48,0,0,0.98,0.98,0,0,0,0.98,0.98,0.98,0
 72-82,0,0,0,0,0.98,1.96,0,0,0,29.45,0,0,1.96,2.94,0,1.96,0,0,0,0.98,0
 84-94,0,0,0,0,2.12,2.12,0,0,0,43.54,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,1.09,0,0,0,42.62,1.09,0,2.19,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,37.53,0,0,0,1.53,0,0,0,0,0,1.53,0
120,0,0,0,0,1.96,0,0,0,0,50.95,0,0,0,0,0,0,0,0,0,1.96,0
