stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,45,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0.82,0,1.64,0,25.45,0,0,4.1,0,86.19,0,4.93,0,0,0,0
 36-46,0,0,0,0,5.64,0,0,1.61,0,0,0,1.61,2.42,57.2,0,0,0,0,38.67,0.81,17.72,0,0,0,0.81
 48-58,0,0,0,0,1.72,0,1.15,7.46,0,0,0.57,1.72,0,23.53,0.57,0,0,0,13.77,0,5.16,0,0,0,0
 60-70,0,0,0,0,11.78,0,0.98,9.82,0,0,0,4.91,0,29.45,0,0,0,0,14.72,0,5.89,0,0,0,0
 72-82,0,0,0,0.98,5.89,0.98,0,6.87,0,0,0,5.89,0.98,20.61,0,0,0.98,0,8.83,0,6.87,0,0,0,0
 84-94,0,0,2.12,0,2.12,0,0,1.06,0,0,0,4.25,0,10.62,0,0,0,0,24.43,0,3.19,0,0,0,0
 96-106,0,0,5.46,0,6.56,0,0,7.65,1.09,0,1.09,1.09,0,8.74,0,1.09,0,0,20.76,0,1.09,1.09,0,0,0
108-118,0,0.77,4.6,0,3.83,0,0,6.13,6.89,0,0.77,2.3,0,10.72,0,0,0,0,19.15,0,0,0,0,0.77,0
120,0,0,1.96,3.92,1.96,0,0,9.8,0,0,0,3.92,0,5.88,1.96,0,1.96,0,15.68,0,0,0,1.96,0,0
