stage,blastomeres,eye,fast_muscle,glial,immune,mesenchyme,neural,paraxial_mesoderm,somites,spinal_cord
  3-4,39.53,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0
 14-21,0,0,0,0,0,0,0,0,1,1
 24-34,0,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0.81,0,0,11.28,0,0,2.42
 48-58,0,0.57,0.57,0,0,0,9.75,0,0,3.44
 60-70,0,0,0,0,0,0,12.76,0,0,0.98
 72-82,0,4.91,0,0,0,0,20.61,0,0,5.89
 84-94,0,0,0,0,0,0,11.68,0,0,3.19
 96-106,0,1.09,0,0,0,1.09,3.28,0,0,1.09
108-118,0,0.77,0,0.77,0.77,1.53,8.43,0,0,0.77
120,0,1.96,0,0,0,0,5.88,0,0,0
