stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  5-6,12.26,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,12.26,0,0,0,0,0,0,0
  7-9,0,28.92,5.26,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,63.09,2.63,0,778.1,0,0,0,0,0,0,0
 10-12,0,25.18,37.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,12.59,0,1674.19,3.15,3.15,50.35,0,22.03,0,0
 14-21,0,1,0,7,2,0,0,0,0,1,0,0,1,0,0,0,1,33,27,0,0,6,3,726,1,323,2316,14,0
 24-34,0,0,0,2.46,0,4.1,27.09,0,0,2.46,0,0,0,0.82,0,0,9.85,29.55,42.68,0.82,0.82,0,3.28,1.64,0,109.17,406.32,4.93,0.82
 36-46,0,0,0,0,0,1.61,41.89,0,0,0,0,0,0,0,0,0,1.61,18.53,14.5,0.81,0,0.81,1.61,0,0,37.87,20.95,4.03,0.81
 48-58,0,0,0,1.15,0,4.02,24.1,0.57,0.57,0.57,0,0,0,0,0,0.57,1.15,23.53,10.9,0,0,0,0.57,0,0,6.31,0.57,2.87,0
 60-70,0,0,0,0,0,5.89,24.54,0,0,0,0,0.98,0,0,0,0,0.98,17.67,4.91,0,0,0,0.98,0.98,0,3.93,0,0,0
 72-82,0,0,0,0,0.98,1.96,20.61,0,0,0.98,0,0,0,0,0,0,1.96,19.63,3.93,0,0,0.98,0,0,0,3.93,0,0,0
 84-94,0,0,0,0,0,3.19,13.81,0,0,1.06,0,1.06,0,0,0,0,2.12,14.87,5.31,0,0,0,1.06,0,0,5.31,0,0,0
 96-106,0,0,0,0,0,1.09,15.3,0,0,0,0,0,0,0,0,0,4.37,12.02,3.28,0,0,1.09,2.19,0,0,2.19,0,0,0
108-118,0,0,0,0,0,2.3,18.38,0,0,0,0,0,0,0,0.77,0,1.53,22.21,3.83,0,0,0,0,0,0,4.6,0,0,0
120,0,0,0,0,0,0,25.48,0,0,1.96,0,0,0,0,0,0,0,13.72,1.96,0,0,0,0,0,0,1.96,0,0,0
