stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,2,0,21,12,0,0,0,0,9,12,814,4,0,2,0
 24-34,0,0,3.28,0,0,0,0,0,0,0.82,0,0,0,0,0,15.6,0,16.42,5.75,0,0,0,0.82,0,4.1,202.75,4.1,0,18.06,0
 36-46,0,0,0,0,0,0.81,0,0,0,2.42,0,0,0,0,0,18.53,3.22,7.25,3.22,0,0,0,0,0,1.61,2.42,0.81,0,13.7,0
 48-58,0,0,0,0,0,1.15,0.57,0,0,1.72,0,0,0,0,0.57,20.66,1.15,16.64,3.44,0,0,0,0,0,0.57,0.57,0,0.57,8.61,0
 60-70,0,0,0,0.98,1.96,0.98,0,0.98,0,4.91,0,0,0,0,0,20.61,2.94,19.63,2.94,0,0,1.96,0.98,0.98,0.98,0,0,2.94,5.89,0
 72-82,0,0,0,0,2.94,1.96,0,0.98,0,2.94,0,0,0,0,0,36.32,7.85,13.74,10.8,0,0,0,0,0,0,0,0.98,3.93,10.8,3.93
 84-94,0,0,2.12,0,4.25,0,1.06,1.06,1.06,2.12,0,0,0,0,0,26.55,6.37,15.93,6.37,0,0,2.12,0,0,0,0,3.19,1.06,12.74,7.43
 96-106,0,0,3.28,0,2.19,0,0,0,2.19,2.19,0,1.09,0,0,0,33.88,2.19,20.76,12.02,0,0,4.37,0,0,0,0,1.09,3.28,9.84,2.19
108-118,0,0,3.83,0.77,3.06,0.77,0,0.77,1.53,0.77,0,1.53,0.77,0.77,0,39.06,1.53,32.17,13.02,0.77,0,3.83,1.53,0,0.77,0,0.77,3.83,20.68,3.83
120,0,0,0,0,0,3.92,1.96,1.96,0,1.96,1.96,0,0,0,0,17.64,1.96,35.28,11.76,0,0,1.96,1.96,1.96,0,0,0,1.96,5.88,1.96
