stage,blastomeres,endoderm,epidermis,eye,glial,gut,mesenchyme,mucous,muscle,neural,olfactory,otic,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,12,0,1,0,0,2,0,0,0
 24-34,0,0,0.82,0,0.82,0,1.64,0,0.82,33.66,0,0,0,0.82,22.16,0,0,0
 36-46,0,0,0,3.22,0,0,2.42,0,0.81,38.67,0,0,0,0,17.72,0,0,0
 48-58,0,0,0,4.59,2.3,0,1.72,0,0.57,46.48,0,0,0,0,15.49,0,0,0.57
 60-70,0,0,0,8.83,3.93,0,3.93,0,0,94.23,0,0,0,0,6.87,0.98,0,0.98
 72-82,0,0,0,8.83,6.87,0,0.98,0.98,0,79.51,0,0,0,0,3.93,0,0,0
 84-94,0,0,0,5.31,3.19,1.06,2.12,0,1.06,42.48,1.06,0,1.06,0,1.06,1.06,0,0
 96-106,0,0,0,8.74,3.28,0,1.09,0,0,36.06,1.09,1.09,0,0,0,1.09,1.09,0
108-118,0,0.77,0.77,2.3,3.06,0,0.77,0,0,29.11,0.77,0,0,0,0,0,0,0
120,0,0,1.96,5.88,0,0,0,0,0,41.16,0,0,0,0,1.96,0,0,0
