stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,6,19,12,11,0,0,0,11,2,0,0,0,0,0,1,20,23,0,0,4,322,10,1,5,18,5,10,32,0,9,234,0,13
 24-34,0,0,0,8.21,0,16.42,0,0.82,1.64,7.39,0,0,0,0.82,14.78,0,0,54.18,52.53,0,0,4.93,271.7,2.46,0,3.28,0,6.57,0,3.28,0.82,2.46,49.25,3.28,54.18
 36-46,0,0,0,0.81,0,8.06,0.81,0,0,2.42,0.81,0,0,0.81,16.11,0,0,33.84,20.14,0,0,1.61,91.04,1.61,0,0,0,0.81,0,0.81,0,0.81,12.89,1.61,21.75
 48-58,0,0,0,1.72,0,7.46,0,0,0,3.44,0,0,0.57,2.3,30.99,0,0,21.8,14.92,0,0,1.72,47.63,0.57,0,0.57,0,0,0,1.72,0,0,8.03,0,5.74
 60-70,0,0,0,0.98,0,3.93,0,0,0,1.96,0,0,0,3.93,19.63,0,0,3.93,2.94,0,0,0,14.72,0,0,0,0,0,0,0,0,0,3.93,0,0.98
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,4.91,6.87,0,0.98,3.93,4.91,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,1.06,0,0,2.12,0,0,0,1.06,0,0,0,1.06,14.87,0,1.06,6.37,4.25,1.06,0,0,5.31,0,0,0,0,0,0,1.06,0,0,1.06,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,1.09,0,0,10.93,5.46,1.09,1.09,3.28,4.37,0,0,0,7.65,0,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,0,9.96,6.13,0,0.77,3.06,3.06,0.77,0.77,0,3.06,0,0,0.77,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,3.92,0,0,0,11.76,5.88,0,1.96,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96
