stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,30,0,1,0,0,0,0,1,0,0,0,1,1,0,5,1,0,0,0,0,1,0,3,0,1,20,9,0,0,1
 24-34,0,0,15.6,0,0.82,0,0.82,0,0,0,0,0,0,7.39,0,0,18.06,13.95,0,0,0.82,0,0.82,0,0,0.82,0,3.28,7.39,0,0,0
 36-46,0,0,3.22,0,1.61,1.61,0.81,0,0,0,0.81,0,0,9.67,0,0,13.7,28.2,0,0,0,0,3.22,0,0,0,0,0,5.64,0,0,0
 48-58,0,0.57,0,0,2.87,2.3,1.15,1.15,0,0,0,0,0,18.36,0,0,4.59,30.99,0,0,0.57,0,0,0,0,0,0,0,7.46,0,0,0
 60-70,0,0,0.98,0,24.54,6.87,1.96,0,0,0,0,0,0,37.3,0,0,4.91,58.89,0,0,0,0,0.98,0,0,0,0,0,5.89,0.98,0,0
 72-82,0,0,0.98,0,42.21,1.96,6.87,1.96,0,0,0,0,0,46.14,0,0.98,3.93,51.05,0,0,0.98,0,0,0,0,0,0,0,5.89,0,0,0
 84-94,0,0,0,0,55.23,10.62,3.19,2.12,0,0,0,1.06,0,44.61,0,1.06,2.12,22.3,0,1.06,1.06,0,0,0,0,0,0,0,6.37,2.12,1.06,0
 96-106,0,0,0,0,54.64,5.46,1.09,1.09,0,0,0,2.19,1.09,33.88,0,0,5.46,26.23,0,0,0,0,1.09,0,0,0,0,0,1.09,2.19,0,0
108-118,0,0,0,0.77,40.6,6.89,1.53,2.3,0.77,0,0,1.53,0,15.32,0,0,3.83,22.98,0,0,0,0.77,0,0,0,0,0,0,1.53,0.77,0,0
120,0,0,1.96,0,35.28,0,1.96,0,0,0,0,0,0,33.32,0,0,5.88,27.44,0,0,0,1.96,0,0,0,0,0,0,0,1.96,3.92,0
