stage,blastomeres,endoderm,epidermis,eye,fast_muscle,glial,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  5-6,18.39,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0
 14-21,0,2,2,2,0,0,1,2,16,0,0,2,0,4,4
 24-34,0,0,0,1.64,0,0,1.64,0,11.49,0,0,0,0,0,3.28
 36-46,0,0,0,1.61,0,0,0,0,8.06,0,0,0,0,0,0.81
 48-58,0,0,0,1.72,0,0.57,0,0,1.15,0,0,0,0,0,0
 60-70,0,0,0,2.94,0.98,0,0,0,3.93,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0.77,0,1.53,0,0,0,0,0,0
