stage,blastomeres,epidermis,eye,fin_epithelia,ionocyte,mesenchyme,muscle,neural,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,5,1,0,0
 24-34,0,0.82,0,0.82,0,0,0,1.64,19.7,0,0,0
 36-46,0,0.81,0,0,0.81,0.81,0,1.61,4.83,1.61,0,0
 48-58,0,0.57,0,0,0,0.57,0.57,1.15,4.59,0,0,0.57
 60-70,0,0.98,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,2.94,0,0,0.98,0
 84-94,0,0,1.06,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0
