stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,mesenchyme,muscle,neural,otic,periderm,presomitic_mesoderm,somites,spinal_cord
  7-9,0,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,1,1,0,0,1,1,0
 24-34,0,0,0,0,0,0,0,0,4.1,0,0,0,0,1.64
 36-46,0,0.81,0,0,0.81,0,0.81,0,3.22,0.81,0.81,0,0,1.61
 48-58,0,0,0,1.15,0.57,0,1.72,0,5.74,0.57,0,0,0,0.57
 60-70,0.98,0,0,2.94,0,0,3.93,0,8.83,0,0,0,0,0
 72-82,0,0,0.98,4.91,1.96,0,3.93,0,3.93,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,1.06,0,3.19,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,2.19,0,2.19,0,0,0,0,0
108-118,0,0.77,0,0,0.77,0,0.77,0,3.06,0,0,0,0,0
120,0,0,0,5.88,0,1.96,0,0,5.88,0,0,0,0,0
