stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,10.51,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,84.12,0,0,0,21.03,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,22.03,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,3,11,1,0,0,4,1,0,4,1,10,10,0,1
 24-34,0,0,0,0,2.46,0,0,2.46,0.82,0,0,0,0,0,0,0.82,0,1.64,6.57,0,0,1.64,0,1.64,0,0,0,2.46,1.64,0,0
 36-46,0,0,0,0,2.42,0,0,8.06,0,0,1.61,0,0,0,0,0.81,0,0.81,14.5,1.61,0.81,0,0,0.81,0,0,0,0,3.22,0,0
 48-58,0,0,0,0,1.15,0,0,34.43,0.57,0,0.57,0,0,0,0,1.15,0,0,17.79,0,0,0.57,0,1.15,0,0,0,0,6.31,0,0.57
 60-70,0,0,0,0,0.98,0,0,155.08,0,0.98,0,0,0,0,0,0,0.98,0,7.85,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0.98,0,0,146.27,0,0,1.96,0.98,0,0,0,2.94,0,0,3.93,0,0.98,0.98,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,1.06,0,0,126.38,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,2.12,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,119.12,0,1.09,0,0,1.09,1.09,0,1.09,0,1.09,5.46,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0.77,0,93.45,0,0,0.77,0,0,0.77,0.77,1.53,0,0,7.66,0,0.77,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,3.92,0,1.96,90.15,1.96,3.92,1.96,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,3.92,0,0
