stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,184.49,1963.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,122.59,2390.56,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,104.2,18.39,0,0,49.04,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,34.17,0,42.06,0,0,76.23,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,938.45,44.69,0,0,383.79,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,0,28.32,0,3.15,78.67,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,619.95,6.29,0,0,195.11,0,0,0,18.88,0,0,3.15,0,0,0,0
 14-21,0,0,0,8,33,12,42,0,0,14,2,1,0,0,1,0,0,1,33,0,17,650,7,1,3,12,3,0,50,2,1,36,195,0,1,0,0
 24-34,0,0,0,0,8.21,0,59.1,0.82,0.82,4.1,0,0,0.82,1.64,0,0.82,0.82,0,25.45,0,15.6,376.77,0.82,1.64,6.57,0,4.93,0,0.82,0,0,1.64,83.73,0,4.93,0,0
 36-46,0,0,0,0,3.22,0,89.43,0,0,8.06,0,0,0.81,0.81,0,1.61,0,0.81,29.81,0.81,5.64,293.26,0,1.61,1.61,0,4.83,0,0,0,0,0.81,57.2,0,0.81,0,0
 48-58,0,0,0,0,2.87,0,88.94,0,1.15,13.77,0.57,0,1.15,0,0,1.15,0,0,29.84,3.44,4.02,105.01,0.57,0,1.15,0,1.15,0,0,0,0,0,28.12,0,1.15,0,0
 60-70,0,0,0,0,2.94,0,51.04,1.96,0,7.85,0,0,0,0.98,0,0,0,0,12.76,0.98,1.96,63.8,0,0,0.98,0,0,0,0,0.98,0,0,4.91,0,0.98,0,0.98
 72-82,0,0,0.98,0,1.96,0,33.38,0,0,20.61,0.98,0,0,0,0,0,1.96,0,32.39,0.98,11.78,46.14,0,0.98,0.98,0,0.98,0,0,0,0,0,5.89,0,4.91,0,0
 84-94,0,0,1.06,0,2.12,0,24.43,1.06,3.19,4.25,1.06,0,1.06,0,2.12,0,0,0,27.61,3.19,7.43,26.55,0,0,3.19,0,4.25,0,0,0,0,0,2.12,0,1.06,1.06,0
 96-106,0,0,1.09,0,3.28,0,16.39,0,2.19,9.84,2.19,0,2.19,0,0,0,0,0,20.76,3.28,2.19,29.51,0,0,0,0,4.37,0,0,0,0,0,3.28,0,2.19,0,0
108-118,0,0,0,0,5.36,0,22.21,0,0,18.38,0,0,0,0.77,0.77,0.77,0.77,0,22.21,0,10.72,63.57,1.53,2.3,1.53,0,1.53,0,0,0,0,0,0.77,0.77,3.06,0,0
120,0,0,0,0,7.84,0,15.68,3.92,0,19.6,0,0,0,0,1.96,0,0,0,3.92,0,0,21.56,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,3.92,0,0
