stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,2.46,0,0,0,0,0.82,0,0,0.82,0,0,0,0,2.46,0,1.64,10.67,174.02,0,0,0,0,0.82,0,0,0,5.75,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,3.22,0.81,0.81,0,0.81,0,0,0,0,0,0,0,0,33.84,0,0.81,8.86,199.81,0,0,0,0,0,0.81,0,0,5.64,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.87,0,0,0,2.87,0,0.57,0,0.57,0,0,0,0,103.28,0,0.57,17.21,147.47,0,1.72,0,0,1.15,0,0,0,2.3,0,0,1.15,0,0.57
 60-70,0.98,0,0,0.98,0.98,0,4.91,0,0,0,8.83,0,0,0,0,0,0,0,0,330.77,0,1.96,15.7,90.3,0,1.96,0,0,0.98,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,2.94,1.96,0,19.63,1.96,0.98,0,15.71,0,0.98,0,0,0,0,0.98,0,670.48,0,0.98,16.69,74.61,0,1.96,0,0,0,0,0,0,1.96,0,0,0.98,0.98,0
 84-94,0,0,0,3.19,0,0,25.49,0,0,1.06,7.43,0,0,0,1.06,0,1.06,0,1.06,605.36,2.12,2.12,10.62,112.58,0,9.56,0,1.06,0,0,0,0,1.06,0,1.06,3.19,1.06,0
 96-106,2.19,0,0,8.74,2.19,0,17.49,1.09,0,0,13.11,0,0,5.46,0,1.09,0,0,1.09,426.21,0,2.19,18.58,113.66,1.09,17.49,0,1.09,3.28,0,0,0,1.09,1.09,0,3.28,2.19,1.09
108-118,2.3,0,0,11.49,0.77,1.53,19.92,0,1.53,0,13.79,1.53,0,1.53,0,0,0.77,0,0.77,336.26,0,2.3,33.7,141.7,0.77,12.26,0,0.77,3.06,0,0,0,0.77,0,2.3,1.53,0.77,0
120,1.96,0,0,15.68,1.96,1.96,15.68,0,0,0,11.76,3.92,0,1.96,0,0,1.96,0,0,278.29,0,5.88,21.56,262.61,0,11.76,0,0,5.88,0,1.96,0,1.96,0,1.96,0,1.96,0
