stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,0,0,2,0,0,0,1,1,0,1,0,1,0,0,0,0,2,0,0,2,11,3,0,1,1,0,0,1,1,9,1,3,7,0,0,0,0,0
 24-34,0,0,3.28,0,0,0,0,0,0.82,0.82,0.82,0,0,0,0.82,0,0.82,0,0,2.46,0,0,0.82,78.8,0.82,0.82,0,0,0,8.21,0,0,7.39,2.46,0.82,22.98,0,0,3.28,0,1.64
 36-46,0,0,0,0.81,0,7.25,1.61,0,0.81,5.64,0,0,0.81,0,0,0,0,0,0,4.83,0,0,0.81,93.46,4.03,0.81,0.81,0,0,12.89,0.81,0,3.22,0.81,0,24.98,0,0,0.81,0,0
 48-58,0,0,2.3,0,0,20.08,0.57,0,0,2.87,1.15,1.15,0,0,0,0,0.57,0,1.72,14.35,0,0,0.57,110.17,0,0,0.57,0,0,6.89,0,0,2.87,1.72,0,26.4,0,0,0,0,0.57
 60-70,0,0,5.89,1.96,0,43.19,0,0,0,10.8,0,0,0.98,1.96,0,0.98,0,0,0.98,14.72,0.98,0.98,0.98,151.15,0.98,0.98,0,0,0,14.72,0,0,0.98,1.96,0,26.5,0,0,0.98,0,0.98
 72-82,0,0,3.93,22.58,0,66.75,0.98,0,0,18.65,0,0.98,0.98,0.98,0.98,0.98,0.98,0,0,21.6,0,0,2.94,158.05,0,0,0.98,0,0,23.56,0,0,2.94,0.98,0,14.72,0,0,4.91,0.98,0.98
 84-94,0,0,10.62,4.25,0,42.48,1.06,4.25,1.06,7.43,1.06,0,2.12,1.06,3.19,2.12,0,0,4.25,27.61,0,0,2.12,69.03,2.12,0,3.19,0,0,45.67,0,0,3.19,1.06,0,9.56,1.06,2.12,4.25,2.12,1.06
 96-106,0,0,12.02,13.11,0,51.36,1.09,2.19,1.09,14.21,0,0,0,2.19,6.56,1.09,3.28,1.09,1.09,22.95,3.28,1.09,2.19,69.94,0,5.46,6.56,0,1.09,45.9,0,0,1.09,2.19,0,3.28,2.19,2.19,6.56,1.09,2.19
108-118,0,0.77,11.49,3.83,3.06,48.26,0.77,3.83,0,12.26,3.06,0,0,1.53,2.3,4.6,0,0.77,1.53,15.32,0,0.77,1.53,79.66,0.77,0.77,6.13,0,0.77,42.89,0,0,4.6,2.3,0,3.83,0.77,1.53,5.36,0.77,1.53
120,0,0,9.8,3.92,0,45.08,1.96,5.88,1.96,21.56,1.96,0,0,1.96,3.92,7.84,0,0,1.96,17.64,0,3.92,0,160.7,0,5.88,7.84,0,0,29.4,0,0,1.96,1.96,0,3.92,0,0,3.92,0,3.92
