stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,27,4,0,6,0,1,0,5,1,3,1,0,1,0,0,0,0,12,0,0,15,52,4,0,1,1,1,0,26,1,375,603,23,0,0,0,0,0
 24-34,0,0,10.67,0,0,31.19,0,0.82,0,0.82,0,0,1.64,0,0.82,0,0,0,0,19.7,0,0,18.88,100.14,6.57,0,1.64,0,18.88,0.82,0,0,201.93,192.9,32.83,0,0,3.28,0,0.82
 36-46,0,0,2.42,0,0,15.31,3.22,3.22,2.42,2.42,0,0,4.03,0,0.81,0,0,0,0.81,18.53,0,0,11.28,111.18,1.61,0,0.81,0,7.25,0,0,0.81,124.07,4.03,31.42,0,0,0.81,0,1.61
 48-58,0,0,2.87,0,0,23.53,6.89,0.57,4.02,7.46,0,0,1.72,0,0,0,0.57,0,0,20.08,0,0,19.51,147.47,0,0,1.72,0.57,3.44,0,0,0,78.61,0,29.84,0,0,0,0,0
 60-70,0,0,2.94,0,0,59.87,21.59,0,1.96,8.83,0,0,0.98,0.98,0,2.94,0,0,0,28.46,0,0,12.76,311.14,1.96,0,0.98,0.98,0.98,0,0,0,42.21,0,31.41,0,0,3.93,0,0.98
 72-82,0.98,0,2.94,0,0,101.11,25.52,0,4.91,16.69,0.98,0,0.98,0,0.98,1.96,0,0.98,0,22.58,1.96,0.98,13.74,352.42,0,0,5.89,0.98,0.98,0,0,0.98,33.38,0,27.49,1.96,0.98,1.96,0,0.98
 84-94,0,0,3.19,2.12,0,70.09,39.3,1.06,2.12,15.93,3.19,2.12,1.06,1.06,1.06,6.37,0,2.12,1.06,16.99,0,0,15.93,173.11,0,0,0,0,7.43,0,0,1.06,76.47,0,12.74,0,0,1.06,2.12,4.25
 96-106,0,0,6.56,3.28,1.09,68.85,45.9,0,2.19,10.93,1.09,0,3.28,1.09,0,6.56,0,0,0,21.86,0,0,7.65,151.91,0,1.09,0,0,2.19,0,0,0,54.64,0,7.65,0,0,2.19,1.09,1.09
108-118,0.77,0,4.6,0.77,1.53,62.04,38.3,0,1.53,11.49,0.77,0,2.3,0.77,0,7.66,0,0.77,0,14.55,0.77,1.53,7.66,172.34,0,0,2.3,0,2.3,0,0,0,68.94,0,9.19,0.77,0.77,2.3,0.77,4.6
120,0,0,9.8,0,5.88,45.08,23.52,0,0,15.68,0,0,1.96,0,0,13.72,0,0,0,5.88,0,0,7.84,211.66,0,5.88,1.96,0,1.96,0,1.96,0,29.4,0,5.88,1.96,0,0,0,0
