stage,axial,blastomeres,epidermis,eye,glial,heart,mesenchyme,mucous,neural,notochord,paraxial_mesoderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,21.03,0,13.14,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,12.59,3.15,25.18,0,0,0,0,0
 14-21,0,0,2,0,1,0,1,0,34,0,0,1,2,1,6,0
 24-34,0,0,0,0,0.82,0.82,0,0,10.67,0,0,0,0,0,2.46,0
 36-46,0,0,0.81,0,0,0,0,0,6.45,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,3.44,0.57,0,0,0,0,0,0
 60-70,0,0,0.98,2.94,0,0,0.98,0,6.87,0,0,0,0,0,0,0
 72-82,0,0,0,2.94,0.98,0,0.98,0.98,3.93,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,1.06,0,0,0,5.31,0,0,0,0,0,0,0
 96-106,0,0,1.09,3.28,0,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,3.06,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,3.92,0,0,1.96,0,0,0,0
