stage,blastomeres,epidermis,eye,glial,gut,immune,mesenchyme,neural,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,1,1,0,0,1,1,3,1,2,3,0
 24-34,0,0,0,0,0,0,0,4.1,0,0.82,0,0.82
 36-46,0,0,0.81,0.81,0.81,0,0,2.42,0,0,0.81,0
 48-58,0,0.57,1.72,0,0,0.57,0,1.15,0,0,0,0
 60-70,0,0,0,0.98,0,2.94,0.98,0,0,0,0,0
 72-82,0,0,1.96,0,0,4.91,1.96,1.96,0,0,0,0
 84-94,0,0,2.12,0,0,8.5,2.12,0,0,0,0,0
 96-106,0,0,0,0,0,8.74,0,1.09,0,0,0,0
108-118,0,0,0,0.77,0,7.66,0.77,0,0,0,0,0
120,0,0,0,0,0,7.84,1.96,1.96,0,0,0,0
