stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,26.29,0,5.26,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,6.29,0,3.15,0,0
 14-21,0,0,2,0,1,0,0,0,0,0,1,0,0,1,11,0,1,0,0,4,1
 24-34,0,0,0.82,0.82,1.64,0,0,0,0,0.82,0.82,0,0,2.46,25.45,0.82,0,1.64,0,9.03,0
 36-46,0,0,0,0,2.42,0,0.81,0,0,0,0.81,1.61,0,0.81,8.06,0,0,0,0,5.64,0
 48-58,0,0,0.57,0,4.02,0,1.72,0,0,0,0,1.15,0,1.15,3.44,0,0,0.57,0,0.57,0
 60-70,0,0,0,0,3.93,0.98,2.94,0,0,0,0,4.91,0,0,4.91,0,0,0.98,0,0.98,0
 72-82,0,0,0,0,1.96,0,0.98,0,0,0,0,1.96,0,0,2.94,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,1.06,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,2.19,0,1.09,4.37,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0.77,3.06,0,0,0.77,0,0,0
