stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,382.16,8539.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.8,0,0,0,0,0,0,0,0,0,0,0
  5-6,398.43,5528.93,0,6.13,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,153.24,18.39,0,0,42.91,0,91.94,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,63.09,0,113.03,0,0,0,176.12,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,1548.31,31.54,0,0,483.68,0,5.26,28.92,0,0,0,0,0,0,0,0,0,0
 10-12,0,40.91,0,229.73,0,9.44,0,135.32,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,1324.87,18.88,0,0,339.87,0,0,0,0,78.67,0,6.29,6.29,0,0,0,0,0
 14-21,1,0,4,134,355,60,0,63,1,0,37,62,2,5,0,9,2,0,2,2,182,0,0,115,1278,40,12,59,29,0,8,4,115,144,0,76,494,0,0,17,0,1
 24-34,0,0,7.39,41.86,87.01,1.64,0,92.76,6.57,3.28,36.12,13.13,0,5.75,4.93,13.95,0.82,2.46,17.24,3.28,236.41,0.82,0.82,87.83,1235.39,32.01,36.12,25.45,0,0,46.79,0,1.64,77.16,0.82,13.95,371.03,0,0,55,0,2.46
 36-46,0,0,1.61,4.03,30.62,2.42,0,238.48,4.03,2.42,32.23,18.53,0,4.83,0,0.81,0.81,0.81,13.7,0,224.78,0.81,1.61,67.68,964.39,11.28,28.2,16.92,0,0,12.09,0,0,33.03,0.81,0,286.82,0,0,36.26,0,9.67
 48-58,0.57,0,0,2.87,34.43,1.72,0,249.61,5.16,3.44,41.89,22.95,0,6.31,0.57,0.57,1.15,1.72,10.9,0.57,267.39,1.15,6.31,43.04,519.87,3.44,11.48,10.9,0,0,5.74,0.57,0,3.44,0,0,123.94,0,0.57,26.97,0.57,6.89
 60-70,0,0,3.93,0,40.24,1.96,0,205.14,1.96,9.82,52.02,32.39,0,1.96,0,0.98,6.87,4.91,12.76,1.96,274.83,0.98,10.8,21.59,367.09,1.96,5.89,6.87,0,0,9.82,0,0,6.87,0,0,59.87,0,4.91,18.65,0.98,5.89
 72-82,0,0,23.56,3.93,56.94,0.98,0,108.96,2.94,2.94,117.8,146.27,0,1.96,6.87,4.91,8.83,0,8.83,0.98,293.52,2.94,12.76,35.34,319.04,0,16.69,19.63,0,2.94,4.91,0,0,6.87,0.98,0,47.12,0.98,4.91,36.32,2.94,4.91
 84-94,0,0,12.74,10.62,56.29,5.31,1.06,112.58,2.12,9.56,55.23,240.02,1.06,3.19,7.43,7.43,7.43,4.25,24.43,1.06,204.97,1.06,16.99,25.49,189.04,4.25,11.68,18.05,0,0,10.62,0,0,10.62,0,0,10.62,1.06,8.5,32.92,5.31,3.19
 96-106,0,0,15.3,16.39,74.31,4.37,0,87.43,2.19,4.37,103.82,303.81,0,7.65,10.93,3.28,6.56,3.28,19.67,1.09,165.02,1.09,7.65,30.6,208.73,3.28,6.56,30.6,0,1.09,13.11,0,0,4.37,0,0,18.58,0,4.37,25.14,3.28,1.09
108-118,0,0,7.66,20.68,55.92,5.36,1.53,63.57,4.6,2.3,76.6,247.41,0,1.53,6.13,6.13,5.36,1.53,22.21,0.77,111.83,1.53,4.6,22.21,225.19,3.83,14.55,10.72,0,2.3,9.96,0.77,0,3.83,0,0,9.96,0,1.53,20.68,3.06,0.77
120,0,0,3.92,5.88,72.51,3.92,0,64.67,1.96,0,64.67,170.5,0,1.96,1.96,1.96,3.92,0,25.48,0,99.95,0,3.92,23.52,154.82,3.92,3.92,17.64,0,0,7.84,0,0,1.96,0,0,3.92,0,3.92,25.48,1.96,1.96
