stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,2,2,2,0,0,0,0
 24-34,0,0,4.1,0,0,1.64,0,0,0,0,0,0,0,0,0,0,4.1,0.82,0,2.46,7.39,0,0.82,0,0,4.93,0,0,1.64,8.21,0,1.64,0,0.82
 36-46,0,0,1.61,0,0,4.03,0,1.61,0,1.61,0,0,0,0,0,0,2.42,0.81,0,1.61,24.17,0.81,0,0,0,12.89,0,0,0,8.86,0,2.42,0,0
 48-58,0,0,1.15,0,0,8.61,0,0,0,2.3,0,0,0,0,0,0.57,4.59,0,0.57,1.72,27.54,0,1.15,0,0,8.61,0,0,0,6.31,0,0,0,0.57
 60-70,0,0,5.89,0,0,3.93,0,1.96,0.98,1.96,0,0,0,0,0,0,6.87,0.98,0,0.98,32.39,0,0.98,0,0,12.76,0.98,0,0,4.91,0,0,0,0.98
 72-82,0,0,3.93,0,0,11.78,0,0.98,0,1.96,0,1.96,0,0,0,0,17.67,5.89,0,0,29.45,0,0,0,0,14.72,0,0,0,0.98,0,0,0,0
 84-94,0,0,4.25,0,0,6.37,0,0,0,0,1.06,3.19,0,0,0,0,3.19,2.12,1.06,1.06,14.87,0,0,2.12,0,24.43,0,0,0,1.06,1.06,0,1.06,0
 96-106,0,0,6.56,0,0,4.37,0,1.09,0,3.28,1.09,1.09,0,0,0,1.09,4.37,1.09,0,0,17.49,0,0,0,0,44.81,0,0,0,1.09,0,3.28,2.19,1.09
108-118,0,0.77,13.02,0.77,0.77,6.13,0.77,2.3,0,2.3,3.83,0.77,1.53,1.53,0.77,0,6.89,0,0,0.77,16.09,0,2.3,0,0,25.28,0,0,0,0,0,3.06,0,0.77
120,0,0,13.72,1.96,0,5.88,0,1.96,0,0,0,7.84,0,0,1.96,0,0,0,0,0,17.64,1.96,0,0,0,27.44,0,0,0,3.92,1.96,0,0,1.96
