stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,15,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
 24-34,0,0,0,7.39,0,0,0.82,0,0.82,0,0,0,0,0.82,0,0,0,0,0,0,5.75,0,0,0.82,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,0.81,0,1.61,0,0,0,0,0,0,0,0,0,0,0,8.86,0,0.81,0.81,5.64,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,4.02,0.57,0,0,1.15,0,1.15,0,0,0,0,0,0,0,3.44,0,0.57,1.15,4.02,0,0,0,0,0,1.15,0,0,0,0,1.15,0,0,2.87,0,0.57
 60-70,0,0,0,0.98,0,0,26.5,0,0,0,5.89,0,0,0,0,0.98,0,0,0,0,9.82,0,0.98,0,22.58,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0.98,0,0,0.98
 72-82,0,0,0,4.91,0,0,139.4,0,1.96,0,41.23,0.98,0.98,0,5.89,0.98,0,1.96,0,0,55.95,1.96,3.93,10.8,78.53,0,0.98,1.96,0,0.98,21.6,0,0,0,0,8.83,0.98,0.98,16.69,0,4.91
 84-94,0,0,0,15.93,3.19,1.06,97.71,0,7.43,0,29.74,4.25,1.06,0,3.19,4.25,2.12,1.06,0,0,36.11,3.19,3.19,4.25,54.16,1.06,2.12,2.12,0,1.06,36.11,0,0,3.19,0,4.25,1.06,1.06,6.37,2.12,1.06
 96-106,0,3.28,0,34.97,4.37,5.46,187.97,1.09,7.65,3.28,61.2,8.74,0,1.09,7.65,10.93,6.56,2.19,3.28,1.09,110.38,3.28,8.74,7.65,110.38,2.19,3.28,10.93,0,0,75.41,1.09,2.19,0,0,12.02,9.84,4.37,20.76,4.37,7.65
108-118,0,6.89,0,77.36,2.3,9.19,225.19,3.83,23.74,3.83,87.32,15.32,0,0.77,13.02,13.02,16.85,7.66,2.3,3.83,155.49,3.06,9.19,16.85,174.64,4.6,6.13,14.55,0,4.6,72.77,0,3.83,3.83,0,5.36,15.32,2.3,17.62,3.83,19.15
120,0,5.88,1.96,84.27,3.92,3.92,231.25,9.8,29.4,3.92,92.11,35.28,0,3.92,25.48,7.84,11.76,3.92,3.92,1.96,154.82,1.96,5.88,19.6,229.29,9.8,5.88,25.48,0,1.96,127.39,0,7.84,5.88,0,13.72,1.96,3.92,45.08,7.84,5.88
