stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,7.89,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,52.57,0,0,0,21.03,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,6.29,0,0,47.2,0,0,9.44,0,0,0,0
 14-21,0,0,1,1,0,0,0,19,0,0,0,0,0,0,0,1,0,0,14,2,0,4,1,0,0,14,1,57,0,0
 24-34,0,0,0.82,0.82,0.82,2.46,0,23.8,0,0,0,0,0,0,0,1.64,0,0,27.91,0,16.42,1.64,0,0,0,10.67,0,49.25,0.82,0
 36-46,0,0,0,0,0,2.42,0,10.47,0,0,0,0,0.81,0,0,0,0,0.81,37.87,0,25.78,0,0,0.81,0,4.03,0,34.64,0,0
 48-58,0,0,0,0.57,0,1.72,0,9.18,0,0,0,0,0,0,0.57,1.15,0,0.57,22.95,0,17.79,1.15,0,0,0.57,2.87,0,26.4,0,0.57
 60-70,0,0,0,0,0,8.83,0,15.7,0,0,0,0,0.98,0,0,0,0,0,25.52,0,17.67,2.94,0,0,0,0.98,0,24.54,0,0
 72-82,0,1.96,0,0.98,0,8.83,0,13.74,0,0,0,0,0,0,0,0.98,0,0.98,25.52,0,35.34,5.89,0,0,0,1.96,0,12.76,0,0
 84-94,0,1.06,0,0,0,5.31,1.06,8.5,0,0,0,0,1.06,0,0,2.12,1.06,0,15.93,0,16.99,13.81,0,0,0,6.37,0,10.62,0,0
 96-106,0,0,1.09,0,0,5.46,0,6.56,0,0,1.09,0,12.02,0,0,3.28,0,0,8.74,0,38.25,13.11,0,0,0,2.19,0,4.37,0,0
108-118,0,0.77,0,0,0,2.3,0,4.6,0,0.77,0.77,0.77,5.36,0.77,0,0.77,0,0.77,6.89,0,18.38,6.13,0,0,0,3.06,0,2.3,0,0.77
120,0,0,0,0,0,3.92,0,5.88,0,0,0,0,7.84,0,0,0,0,0,11.76,0,15.68,1.96,0,0,0,7.84,0,1.96,0,0
