stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,31.47,6.29,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,1,0,5,3,0,0,0
 24-34,0,0,0,2.46,0,1.64,0,0,0,0,0.82,0,0.82,1.64,1.64,8.21,0.82,0,0.82,0,0,0,1.64,0.82,0,0,0
 36-46,0,0,0.81,0.81,0,2.42,0.81,0.81,0,0,0.81,0,2.42,3.22,2.42,12.09,0.81,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0.57,0,0,8.03,0,2.3,0,0,0,0,1.15,4.59,1.15,9.18,0,0.57,0,0,0,0.57,0,2.87,0,0,1.15
 60-70,0,0,0,0.98,0,8.83,0.98,1.96,0,0,0.98,0,0,9.82,0,8.83,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0.98,0,7.85,0,4.91,0,0,0.98,0,0.98,13.74,0.98,9.82,1.96,0,0,0,0,0,0,1.96,0,0.98,0
 84-94,0,0,0,0,0,2.12,0,3.19,1.06,0,1.06,1.06,1.06,3.19,0,7.43,0,0,0,0,0,0,0,1.06,1.06,0,0
 96-106,0,0,0,0,0,5.46,0,0,0,0,0,0,0,8.74,0,7.65,0,0,1.09,0,0,0,0,1.09,1.09,0,1.09
108-118,0,0,0,1.53,0,0.77,0,1.53,0,0,0,0.77,1.53,13.79,0.77,6.13,0,0,1.53,0,0,0,0,0,0.77,0,0
120,0,0,0,1.96,0,5.88,0,1.96,0,0,1.96,0,0,15.68,0,3.92,0,0,0,0,0,0,0,0,5.88,0,0
