stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,79.07,1067.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,73.56,925.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,12.26,0,0,0,0,0,0,0
  7-9,10.51,10.51,0,7.89,0,0,55.2,0,0,0,0,15.77,0,0,0,0,0,0,0,383.79,10.51,0,128.81,0,2.63,0,0,0,0,0,0
 10-12,0,6.29,0,15.73,0,0,28.32,0,0,0,0,9.44,0,0,0,0,0,0,0,365.05,18.88,0,94.41,0,0,0,9.44,0,0,0,0
 14-21,0,0,0,0,6,2,4,0,0,1,2,0,0,0,1,0,1,0,2,45,0,0,2,1,0,7,0,3,14,0,0
 24-34,0,0,0,0.82,3.28,0.82,10.67,0,0,0.82,0.82,0,1.64,0,0,0,3.28,0,3.28,75.52,1.64,0,0,4.1,0,0,0,1.64,12.31,1.64,0
 36-46,0,0,0,0,0.81,0,7.25,0,0.81,1.61,0,0,0,0.81,0.81,0,4.83,0,0.81,25.78,0.81,0,0,1.61,0,0,0,0,5.64,0.81,0
 48-58,0,0,0,0,1.72,0,5.74,0,0,0.57,0,0,0,0,0,0,4.59,0,1.15,14.35,1.15,0,0,1.72,0,0,0,0,3.44,0.57,0
 60-70,0,0,0,0,0,0,5.89,0,0,3.93,0,0,0,0.98,0.98,0,8.83,0,0.98,11.78,0,0,0,0.98,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,3.93,0,0.98,3.93,0,0,0,0,0,0,6.87,0.98,0.98,7.85,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,2.12,0,0,1.06,1.06,0,0,0,0,1.06,3.19,1.06,0,6.37,0,0,0,1.06,0,0,0,0,0,3.19,0
 96-106,0,0,0,0,3.28,0,1.09,0,0,1.09,0,0,0,1.09,0,0,2.19,0,1.09,5.46,0,2.19,0,1.09,0,0,0,0,0,0,1.09
108-118,0,0,0.77,0,1.53,0,1.53,0.77,0.77,3.06,0,0,0,0,0,0,0.77,0.77,0.77,3.06,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,0,1.96,0,1.96,1.96,0,0,0,0,0,0,1.96,0,3.92,1.96,0,0,0,1.96,0,0,0,0,0,0,0
