stage,epidermis,eye,fin_mesenchyme,glial,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,presomitic_mesoderm,spinal_cord,visceral_smooth_muscle
 14-21,1,0,0,3,0,0,0,0,2,0,2,1,5,0
 24-34,0,0.82,0.82,0.82,0,0,0,0.82,4.1,0,0,0,2.46,0
 36-46,0,0.81,0,0,0,0,0.81,0,4.03,0.81,0,0,3.22,0
 48-58,0,2.3,0,0.57,0,0,1.15,0,0.57,0,0,0,2.3,0
 60-70,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,2.94,0,0,0.98,0,2.94,0.98,0,0,0,0
 84-94,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0.77,0.77,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
