stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,10,2,0,6,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,4,77,1,0,1,1,0,1,3,1,0,8,20,0,0,0,0,0
 24-34,0,0,0,4.1,1.64,0,8.21,0,0,0,1.64,0,0.82,1.64,5.75,0,0.82,0,0,6.57,0,0,2.46,72.24,0.82,1.64,0.82,0,0,2.46,0,0,0,0,18.88,0,0,0.82,0,0
 36-46,0,0,0,2.42,0.81,0,24.98,2.42,2.42,0,8.06,0,2.42,0.81,4.83,0.81,0,0.81,0,10.47,0,0,3.22,117.63,0.81,0.81,0,0,0,5.64,0,0,0,0,23.36,0,0,0,0,0.81
 48-58,0,0.57,0,2.3,0,0,44.18,13.2,9.75,1.72,22.38,0,3.44,5.74,4.02,0,0.57,0,0.57,39.59,0,1.72,4.02,76.89,0.57,1.72,2.87,0,0.57,2.87,0,0,0.57,0,16.64,0,0,1.72,0,1.72
 60-70,0,0,0,2.94,0.98,0,35.33,10.8,6.87,0.98,16.69,0.98,0,11.78,3.93,0,0.98,0,0,35.33,0,3.93,9.82,42.21,1.96,0.98,1.96,0,0.98,4.91,0,0.98,0,0,6.87,0,0.98,0.98,5.89,0.98
 72-82,0,0,0,0,7.85,1.96,56.94,10.8,14.72,1.96,16.69,2.94,1.96,37.3,2.94,0,1.96,0.98,0,87.37,1.96,20.61,10.8,78.53,0,1.96,9.82,0,1.96,4.91,0,0,0,0,4.91,0,9.82,4.91,28.47,0
 84-94,0,0,0,6.37,4.25,1.06,24.43,3.19,7.43,1.06,9.56,6.37,2.12,49.92,9.56,2.12,1.06,1.06,1.06,36.11,1.06,5.31,4.25,23.36,2.12,0,2.12,0,0,22.3,0,3.19,0,0,3.19,1.06,2.12,2.12,29.74,1.06
 96-106,0,0,0,20.76,10.93,3.28,28.41,16.39,13.11,1.09,13.11,4.37,8.74,77.59,21.86,0,0,4.37,0,67.76,1.09,17.49,7.65,30.6,1.09,1.09,6.56,0,3.28,16.39,0,5.46,0,0,0,1.09,12.02,4.37,55.74,0
108-118,0,0,0,17.62,3.06,11.49,29.87,16.09,5.36,1.53,9.19,11.49,7.66,55.15,23.74,1.53,0.77,4.6,0.77,43.66,0,6.13,12.26,49.79,0.77,1.53,3.06,0,7.66,13.79,0,0.77,0.77,0,3.06,1.53,7.66,4.6,30.64,0
120,0,0,0,23.52,19.6,3.92,25.48,9.8,1.96,0,9.8,13.72,7.84,86.23,21.56,0,1.96,3.92,0,27.44,0,1.96,3.92,29.4,1.96,0,5.88,0,3.92,11.76,0,3.92,0,0,1.96,0,1.96,5.88,43.12,0
