stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,3.15,3.15,0,6.29,0,0,0,0,0
 14-21,0,0,1,4,6,2,0,1,1,0,0,8,2,26,4,0,2,0,2,8,151,8,4,0,0,0
 24-34,0,0,0,0.82,0.82,6.57,2.46,0,0,0,0.82,2.46,1.64,39.4,4.93,0.82,0,0,0.82,0,119.02,0.82,7.39,0,1.64,0.82
 36-46,0,0,0,0,0,1.61,0,0,0,0,0.81,2.42,0.81,17.72,1.61,0,0,0,1.61,0,76.54,0,0.81,0,0,0
 48-58,0,0,0,0,0.57,0.57,0.57,0,0,0,0,0.57,0,7.46,0.57,0.57,0,0,0.57,0,28.69,0,4.02,0,0,0
 60-70,0,0,0,0,0.98,3.93,0.98,0,0,0,0,0,0,8.83,0.98,0,0,0,0,0,10.8,0,2.94,0,0,0
 72-82,0,0,0,0,0,2.94,0.98,0,0,0,0,0,0,4.91,0,0,0,0,0,0,2.94,0,0,0,1.96,0
 84-94,0,0,0,0,0,2.12,1.06,0,1.06,1.06,0,2.12,0,5.31,0,0,0,0,0,0,5.31,0,0,1.06,0,0
 96-106,0,0,0,0,0,2.19,0,0,0,0,0,0,0,3.28,0,1.09,0,0,0,0,4.37,0,0,0,0,0
108-118,0,0,0,0,0,5.36,0,0,0.77,0,0.77,0.77,0,4.6,0,0.77,0.77,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0
