stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle
  3-4,92.25,1093.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0
  5-6,6.13,239.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,0,12.26,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,10.51,2.63,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,15.73,0,0,0,0,0,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,0,0,1,0,6,1,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,1.64,0,0,0,9.03,0,0,0.82,4.1,0,8.21,0,1.64,4.93,0,26.27,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0.81,0,0,0.81,0,0,0,1.61,1.61,0,0,4.03,0,10.47,0,1.61,2.42,0,21.75,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,5.16,0,0,2.3,0.57,1.72,0,7.46,0,4.59,0,0.57,0.57,0,22.95,0,0,1.15,0,0
 60-70,0,0,0,0,1.96,0,0.98,0,0,1.96,2.94,0,0,1.96,0,0,0,4.91,0,2.94,0,0,0,0,18.65,0,0,0,0,0
 72-82,0,0,1.96,0,0,0,0,0.98,2.94,5.89,1.96,0.98,0,1.96,3.93,1.96,0.98,10.8,0,10.8,0,0,9.82,0,33.38,0,0,0.98,4.91,0
 84-94,0,0,1.06,0,9.56,2.12,2.12,2.12,0,9.56,4.25,0,2.12,1.06,1.06,0,0,11.68,0,6.37,0,4.25,3.19,0,73.28,0,1.06,1.06,6.37,0
 96-106,0,0,0,0,15.3,2.19,4.37,1.09,1.09,14.21,0,0,1.09,7.65,2.19,0,1.09,13.11,0,6.56,0,7.65,4.37,0,67.76,0,0,0,6.56,0
108-118,0,0,0,0.77,8.43,3.06,1.53,1.53,2.3,18.38,0,0,1.53,5.36,1.53,1.53,1.53,7.66,0.77,3.83,0,5.36,7.66,0,55.15,0,0,0,7.66,1.53
120,0,0,0,0,13.72,3.92,0,0,0,19.6,0,0,1.96,1.96,0,0,0,1.96,0,3.92,0,5.88,7.84,0,64.67,0,0,0,3.92,0
