stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,1436.39,17104.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.63,0,0,0,0,0,0,0,0
  5-6,2231.19,26026.43,0,49.04,0,0,0,0,0,0,0,91.94,0,0,0,0,0,0,0,0,0,0,0,956.22,79.69,0,0,300.35,0,312.61,0,0,0,0,0,0,0,0
  7-9,228.7,278.64,0,696.61,0,2.63,197.15,0,0,0,0,304.93,0,0,0,0,0,0,0,0,0,0,0,8059.63,341.73,0,0,5509.78,0,13.14,52.57,0,2.63,0,0,0,0,0
 10-12,0,236.02,0,468.9,0,6.29,125.88,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,5230.26,107,0,0,3398.73,0,9.44,18.88,6.29,641.98,0,6.29,12.59,0,0
 14-21,2,6,1,75,836,753,103,4,0,93,92,0,4,4,45,0,2,3,0,281,7,0,213,3806,53,6,58,397,0,127,1,836,49,3,335,1626,14,0
 24-34,0,0,0.82,11.49,62.39,907.87,112.46,4.1,3.28,44.33,13.13,0.82,4.93,3.28,15.6,2.46,7.39,2.46,0,114.92,2.46,0,75.52,1819.02,1.64,18.06,14.78,0,0,45.15,0,1.64,4.93,0,32.83,467.07,39.4,1.64
 36-46,0,0,0,0,21.75,538.99,147.44,2.42,0,16.11,2.42,0,0.81,3.22,3.22,0,2.42,2.42,0.81,51.56,0.81,1.61,29.81,663.07,0,16.11,2.42,0,0,16.11,0,0.81,2.42,0,0,200.61,12.09,0
 48-58,0,0,0,0.57,12.62,616.84,99.27,2.3,2.3,12.62,2.87,0,0.57,1.15,1.15,0.57,1.15,0.57,0.57,42.46,0,2.3,17.79,177.31,0,1.72,1.15,0,0,3.44,0,0,0,0,0,33.85,10.9,0.57
 60-70,0,0,0,0,5.89,406.35,97.17,0,0,22.58,4.91,0,0,2.94,0,0.98,2.94,1.96,0,38.28,0,0.98,6.87,107.97,1.96,0.98,0,0,0,1.96,0,0,0,0,0,8.83,7.85,0
 72-82,0,0,0,0,0.98,330.82,46.14,0,3.93,25.52,1.96,0,0.98,5.89,2.94,0.98,0,0.98,0,17.67,0,0.98,10.8,82.46,0,2.94,4.91,0,0,2.94,0,0,0,0,0,7.85,10.8,0
 84-94,0,0,0,0,6.37,326.05,41.42,0,3.19,21.24,7.43,0,1.06,8.5,2.12,1.06,3.19,3.19,0,38.23,1.06,2.12,10.62,74.34,1.06,2.12,2.12,0,0,3.19,0,0,0,0,0,2.12,7.43,0
 96-106,0,0,2.19,0,6.56,424.02,29.51,0,2.19,17.49,6.56,0,1.09,6.56,0,1.09,0,4.37,0,28.41,0,0,8.74,53.55,1.09,3.28,1.09,0,2.19,3.28,0,0,1.09,0,0,1.09,13.11,1.09
108-118,0,0,0.77,0,4.6,409.02,26.81,0.77,3.06,13.79,3.06,0,0.77,5.36,0.77,0.77,0,3.06,0,31.4,0,0,4.6,46.72,0,1.53,1.53,0,0.77,2.3,0.77,0,0,0,0,0,10.72,0
120,0,0,0,0,5.88,486.03,29.4,0,1.96,15.68,3.92,0,1.96,1.96,0,0,1.96,0,0,37.24,0,1.96,13.72,45.08,0,0,3.92,0,0,1.96,0,0,0,0,0,1.96,11.76,0
