stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.46,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,56.65,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,30,15,2,0,0,0,0,0,1,28,0,0,0,0,1,1,2,12,0,0,0,0,1,0,0,3,1,0,0,2,0,0
 24-34,0,0,0,0,55.82,3.28,0.82,9.03,0,0,0,0,0.82,39.4,0,0,0,0,2.46,0,0.82,13.13,0.82,0.82,0,0,0,0,0,0,2.46,0,0,24.63,0,0
 36-46,0,0,0,0,44.31,0,0,16.11,0.81,0,0,0,0,58.01,0,0,0,0,1.61,0,0,10.47,0,0,0,0,0,0,0,0,1.61,0,0,24.17,0,0
 48-58,0,0,0,0.57,22.95,1.72,2.87,13.77,0,2.3,0,0,0,65.41,0,0,0,0,2.3,0.57,0,7.46,0.57,0,0,0,0,0,0,0,2.3,0,0,26.4,0,0
 60-70,0,0,0,0,40.24,0.98,0.98,13.74,0,3.93,0,0,0,67.73,0.98,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,24.54,0,0.98
 72-82,0,0,0,0,45.16,6.87,8.83,15.71,0,8.83,0,0,0,102.09,0.98,0,0,0.98,5.89,0.98,0.98,3.93,0,0,0,0,0,0,0,0,1.96,0,1.96,53.01,0,0.98
 84-94,0,0,0,0,125.32,7.43,4.25,37.17,0,4.25,0,0,0,145.5,0,0,0,0,6.37,3.19,0,5.31,0,0,0,0,0,0,0,0,1.06,0,1.06,54.16,0,0
 96-106,0,0,1.09,0,99.45,13.11,5.46,22.95,0,8.74,0,0,0,193.43,0,0,0,1.09,5.46,0,1.09,12.02,2.19,2.19,0,1.09,0,1.09,0,0,1.09,1.09,2.19,83.06,0,0
108-118,0,0,0,0,112.6,6.13,3.06,36,0,3.83,0.77,0,0,157.02,0.77,0.77,0,0,3.06,0,0,8.43,0.77,0,0,0.77,0,0,0,0,1.53,0.77,2.3,54.38,0,0
120,0,0,0,0,86.23,1.96,3.92,15.68,0,5.88,5.88,0,1.96,164.62,1.96,0,1.96,0,7.84,1.96,0,9.8,0,0,0,3.92,0,0,1.96,0,0,1.96,0,68.59,1.96,0
